Airfoil,Model,AoA_deg,Status,Include_in_quantitative_comparison,Sensitivity_reporting_policy,Sensitivity_iteration_or_window,Sensitivity_n_rows,Cm_raw,CD,CL,SST_reporting_policy,SST_iteration_or_window,SST_Cm_raw,SST_CD,SST_CL,Delta_CL_pct_vs_SST,Delta_CD_pct_vs_SST,Delta_Cm_raw_absolute_vs_SST
NACA0012,SSTLM,16.0,FORMAL,True,FINAL_FORMAL_ROW,1549,1,-0.0273686719,0.0498626033,1.33652273,FINAL_FORMAL_ROW,6913,-0.0274067357,0.0452356225,1.40438553,-4.83220586871,10.2286219229,3.80638e-05
NACA4412,SA,0.0,FORMAL,True,FINAL_FORMAL_ROW,1619,1,0.0924613558,0.0131997215,0.408415475,FINAL_FORMAL_ROW,1102,0.0901534047,0.0126687337,0.396798325,2.92772153209,4.19132497828,0.0023079511
NACA4412,SA,2.0,FORMAL,True,FINAL_FORMAL_ROW,1919,1,9.07730006e-02,1.51691076e-02,6.11799615e-01,FINAL_FORMAL_ROW,1215,0.0876786386,0.0147063087,0.595974116,2.65540038991,3.14694128514,0.003094362
NACA4412,SA,4.0,FORMAL,True,FINAL_FORMAL_ROW,1667,1,8.87473059e-02,1.81102029e-02,8.11517184e-01,FINAL_FORMAL_ROW,1309,0.0847063417,0.0175476716,0.791239898,2.56272289242,3.20573186473,0.0040409642
NACA4412,SA,6.0,FORMAL,True,FINAL_FORMAL_ROW,1567,1,8.58076999e-02,2.20015061e-02,1.00291065e+00,FINAL_FORMAL_ROW,1461,0.0807753867,0.0211399437,0.97850904,2.49375417114,4.07551889554,0.0050323132
NACA4412,SA,8.0,FORMAL,True,FINAL_FORMAL_ROW,1740,1,0.0823798155,0.0267088022,1.18816475,FINAL_FORMAL_ROW,1625,0.0759083907,0.025675133,1.15499375,2.87196359288,4.02595460752,0.0064714248
NACA4412,SA,10.0,FORMAL,True,FINAL_FORMAL_ROW,1897,1,7.83212312e-02,3.26814612e-02,1.36160489e+00,FINAL_FORMAL_ROW,1774,0.0699212021,0.0313558414,1.31584472,3.47762690418,4.22766457799,0.0084000291
NACA4412,SA,12.0,FORMAL,True,FINAL_FORMAL_ROW,2138,1,7.30842026e-02,4.00700439e-02,1.51489142e+00,FINAL_FORMAL_ROW,2005,0.0623111062,0.0384631781,1.45007675,4.46974065338,4.17767298329,0.0107730964
NACA4412,SA,14.0,FORMAL,True,FINAL_FORMAL_ROW,2853,1,0.0671504331,0.0489250674,1.64271848,FINAL_FORMAL_ROW,3166,0.0553365906,0.0469718535,1.56476008,4.98213119036,4.15826448066,0.0118138425
NACA4412,SA,14.5,FORMAL,True,FINAL_FORMAL_ROW,3185,1,6.56741336e-02,5.16697029e-02,1.66823873e+00,FINAL_FORMAL_ROW,9900,0.0540917594,0.0490992,1.59390299,4.66375560284,5.23532542282,0.0115823742
NACA4412,SA,15.0,FORMAL,True,FINAL_FORMAL_ROW,3064,1,6.27395581e-02,5.53915149e-02,1.67538616e+00,ITERATIVE_WINDOW_MEAN,15001-16000,0.052298732905,0.0523796501698,1.60833532733,4.16895852069,5.75006652476,0.010440825195
NACA4412,SA,15.5,FORMAL,True,FINAL_FORMAL_ROW,3159,1,6.21866501e-02,5.93813241e-02,1.69431395e+00,ITERATIVE_WINDOW_MEAN,11001-12000,0.0509153392879,0.0561151838734,1.6199761007,4.58882382696,5.82042149941,0.0112713108121
NACA4412,SA,16.0,FORMAL,True,FINAL_FORMAL_ROW,3300,1,0.0619617783,0.0635882014,1.71340051,ITERATIVE_WINDOW_MEAN,11001-12000,0.0505755486146,0.0605189138525,1.63200065314,4.98773433107,5.07161704022,0.0113862296854
NACA4412,SSTLM,0.0,FORMAL,True,FINAL_FORMAL_ROW,2667,1,0.105282871,0.0069564376,0.470570276,FINAL_FORMAL_ROW,1102,0.0901534047,0.0126687337,0.396798325,18.5918000032,-45.0897164252,0.0151294663
NACA4412,SSTLM,2.0,STABLE_NOT_FORMAL,True,FINAL_ITERATIVE_WINDOW_MEAN,11001-12000,1000,0.101538955951,0.009319058557,0.665504734622,FINAL_FORMAL_ROW,1215,0.0876786386,0.0147063087,0.595974116,11.6667178583,-36.6322389452,0.013860317351
NACA4412,SSTLM,4.0,STABLE_NOT_FORMAL,True,FINAL_ITERATIVE_WINDOW_MEAN,11001-12000,1000,0.095352976926,0.012208794829,0.850904538792,FINAL_FORMAL_ROW,1309,0.0847063417,0.0175476716,0.791239898,7.54065119097,-30.4249868171,0.010646635226
NACA4412,SSTLM,6.0,FORMAL,True,FINAL_FORMAL_ROW,3389,1,0.0915386859,0.0157023784,1.04577832,FINAL_FORMAL_ROW,1461,0.0807753867,0.0211399437,0.97850904,6.87467128561,-25.721758663,0.0107632992
NACA4412,SSTLM,8.0,FORMAL,True,FINAL_FORMAL_ROW,1604,1,8.70355813e-02,2.05006722e-02,1.22907521e+00,FINAL_FORMAL_ROW,1625,0.0759083907,0.025675133,1.15499375,6.41401392865,-20.1535890778,0.0111271906
NACA4412,SSTLM,10.0,STABLE_NOT_FORMAL,True,FINAL_ITERATIVE_WINDOW_MEAN,11001-12000,1000,0.072654978410,0.028047544337,1.342402821800,FINAL_FORMAL_ROW,1774,0.0699212021,0.0313558414,1.31584472,2.01833099273,-10.550815782,0.00273377631
NACA4412,SSTLM,12.0,STABLE_NOT_FORMAL,True,FINAL_ITERATIVE_WINDOW_MEAN,11001-12000,1000,0.0638533187761,0.0364853569308,1.46581678737,FINAL_FORMAL_ROW,2005,0.0623111062,0.0384631781,1.45007675,1.08546236397,-5.14211582844,0.0015422125761
NACA4412,SSTLM,14.0,EXCLUDE_NOT_STABLE,False,FINAL_EVIDENCE_ONLY_NOT_REPORTED,11001-12000,1000,0.059353741868,0.047883622116,1.576839384320,FINAL_FORMAL_ROW,3166,0.0553365906,0.0469718535,1.56476008,,,
NACA4412,SSTLM,14.5,EXCLUDE_NOT_STABLE,False,FINAL_EVIDENCE_ONLY_NOT_REPORTED,11001-12000,1000,0.059072230175,0.051581780371,1.600359292490,FINAL_FORMAL_ROW,9900,0.0540917594,0.0490992,1.59390299,,,
NACA4412,SSTLM,15.0,EXCLUDE_NOT_STABLE,False,FINAL_EVIDENCE_ONLY_NOT_REPORTED,11001-12000,1000,0.058698645024,0.056564186990,1.614072388610,ITERATIVE_WINDOW_MEAN,15001-16000,0.052298732905,0.0523796501698,1.60833532733,,,
NACA4412,SSTLM,15.5,EXCLUDE_NOT_STABLE,False,FINAL_EVIDENCE_ONLY_NOT_REPORTED,11001-12000,1000,0.061407068366,0.060805062012,1.650521671370,ITERATIVE_WINDOW_MEAN,11001-12000,0.0509153392879,0.0561151838734,1.6199761007,,,
NACA4412,SSTLM,16.0,EXCLUDE_NOT_STABLE,False,FINAL_EVIDENCE_ONLY_NOT_REPORTED,12000,1,0.0719304781,0.0722976054,1.69507728,ITERATIVE_WINDOW_MEAN,11001-12000,0.0505755486146,0.0605189138525,1.63200065314,,,
