AoA_deg,SST_Status,SST_Reporting_method,SST_Representative_iteration_or_window,CL_SST,CL_XFOIL_P240,Delta_CL_SST_minus_XFOIL,Delta_CL_pct_of_XFOIL,CD_SST,CD_XFOIL_P240,Delta_CD_SST_minus_XFOIL,Delta_CD_pct_of_XFOIL,Cm_SST_raw_OpenFOAM_plusZ,Cm_SST_XFOIL_sign_convention,Cm_XFOIL_P240,Delta_Cm_comparable_SST_minus_XFOIL,Abs_Delta_Cm,XFOIL_CDp,XFOIL_Top_Xtr,XFOIL_Bot_Xtr,SST_CL_std,SST_CD_std,SST_Cm_raw_std
0.0,FORMAL_CONVERGENCE,final_converged_iteration,1102,0.396798325,0.4541,-0.057301674999999996,-12.618734860162958,0.0126687337,0.00672,0.0059487337,88.52282291666666,0.0901534047,-0.0901534047,-0.0964,0.006246595300000005,0.006246595300000005,0.00038,0.6236,0.4063,0.0,0.0,0.0
2.0,FORMAL_CONVERGENCE,final_converged_iteration,1215,0.595974116,0.7247,-0.12872588399999996,-17.762644404581202,0.0147063087,0.00629,0.0084163087,133.80458982511922,0.0876786386,-0.0876786386,-0.1066,0.018921361400000003,0.018921361400000003,0.00077,0.5276,0.9985,0.0,0.0,0.0
4.0,FORMAL_CONVERGENCE,final_converged_iteration,1309,0.791239898,0.9141,-0.12286010199999997,-13.44055376873427,0.0175476716,0.00721,0.010337671599999997,143.37963384188623,0.0847063417,-0.0847063417,-0.0993,0.014593658299999993,0.014593658299999993,0.00096,0.4581,1.0,0.0,0.0,0.0
6.0,FORMAL_CONVERGENCE,final_converged_iteration,1461,0.97850904,1.0918,-0.11329096000000005,-10.376530500091595,0.0211399437,0.00853,0.0126099437,147.83052403282534,0.0807753867,-0.0807753867,-0.0899,0.0091246133,0.0091246133,0.00117,0.3605,1.0,0.0,0.0,0.0
8.0,FORMAL_CONVERGENCE,final_converged_iteration,1625,1.15499375,1.2256,-0.07060624999999998,-5.760953818537858,0.025675133,0.01178,0.013895132999999999,117.95528862478777,0.0759083907,-0.0759083907,-0.0733,-0.0026083906999999906,0.0026083906999999906,0.00207,0.173,1.0,0.0,0.0,0.0
10.0,FORMAL_CONVERGENCE,final_converged_iteration,1774,1.31584472,1.3298,-0.013955280000000014,-1.0494269815009787,0.0313558414,0.01639,0.014965841400000002,91.31080780964004,0.0699212021,-0.0699212021,-0.0541,-0.015821202099999994,0.015821202099999994,0.00383,0.0558,1.0,0.0,0.0,0.0
12.0,FORMAL_CONVERGENCE,final_converged_iteration,2005,1.45007675,1.4283,0.021776750000000122,1.5246621858153135,0.0384631781,0.02234,0.016123178100000003,72.17179095792304,0.0623111062,-0.0623111062,-0.0388,-0.0235111062,0.0235111062,0.00674,0.0298,1.0,0.0,0.0,0.0
14.0,FORMAL_CONVERGENCE,final_converged_iteration,3166,1.56476008,1.4972,0.06756008000000002,4.51242853326209,0.0469718535,0.03233,0.014641853500000003,45.288751933189005,0.0553365906,-0.0553365906,-0.027,-0.0283365906,0.0283365906,0.01269,0.0211,1.0,0.0,0.0,0.0
14.5,FORMAL_CONVERGENCE,final_converged_iteration,9900,1.59390299,1.5109,0.08300299,5.4936124164405316,0.0490992,0.03558,0.013519200000000002,37.99662731871839,0.0540917594,-0.0540917594,-0.025,-0.0290917594,0.0290917594,0.0148,0.0198,1.0,0.0,0.0,0.0
15.0,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,final_1000_iteration_mean,15001-16000,1.6083353273299998,1.5164,0.09193532732999987,6.062735909390653,0.0523796501698,0.03982,0.012559650169799999,31.541060195379202,0.052298732905,-0.052298732905,-0.0232,-0.029098732905,0.029098732905,0.01768,0.0187,1.0,0.0002077974760641483,7.639936955262487e-05,0.00010851123684665766
15.5,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,final_1000_iteration_mean,11001-12000,1.6199761007,1.5238,0.09617610069999993,6.311596055912846,0.0561151838734,0.04416,0.0119551838734,27.0724272495471,0.0509153392879,-0.0509153392879,-0.0221,-0.028815339287899998,0.028815339287899998,0.02069,0.0177,1.0,0.00037678725368707884,0.00016522802237759233,0.00019277543300825277
16.0,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,final_1000_iteration_mean,11001-12000,1.63200065314,1.5275,0.1045006531399999,6.841286621276589,0.0605189138525,0.04912,0.011398913852500005,23.206257843037474,0.0505755486146,-0.0505755486146,-0.0213,-0.0292755486146,0.0292755486146,0.02422,0.0169,1.0,0.0005845106010437042,0.00028705443491480834,0.00030907935864215864
