face,x_over_c,y_over_c,z,Cp
100,0.018635350000000002,-0.022835099999999997,0.0,-0.1394248
101,0.0176944,-0.02229135,0.0,-0.12336835
102,0.01677665,-0.0217445,0.0,-0.1062822
103,0.01588235,-0.021194650000000002,0.0,-0.088297931
104,0.015011549999999999,-0.020641899999999998,0.0,-0.069348221
105,0.01416435,-0.0200862,0.0,-0.04920193
106,0.01334095,-0.01952755,0.0,-0.027941258
107,0.01254135,-0.0189661,0.0,-0.0056626316
108,0.011765649999999999,-0.018401849999999997,0.0,0.018026802
109,0.011014050000000001,-0.01783475,0.0,0.042973647
110,0.010286585,-0.0172649,0.0,0.069228912
111,0.009583305,-0.01669235,0.0,0.096844827
112,0.00890436,-0.016117100000000002,0.0,0.12591305
113,0.008249820000000001,-0.015539150000000002,0.0,0.15646142
114,0.0076197650000000006,-0.014958599999999999,0.0,0.18846355
115,0.007014275,-0.0143755,0.0,0.2219366
116,0.00643343,-0.0137898,0.0,0.25686716
117,0.00587731,-0.0132016,0.0,0.29329503
118,0.00534598,-0.012610900000000001,0.0,0.33105338
119,0.004839505,-0.01201775,0.0,0.37019649
120,0.004357955,-0.011422149999999999,0.0,0.41058295
121,0.0039013900000000002,-0.010824150000000001,0.0,0.45197843
122,0.003469865,-0.010223804999999999,0.0,0.49434622
123,0.003063435,-0.009621069999999999,0.0,0.53737764
124,0.0026821550000000003,-0.009016045,0.0,0.58082945
125,0.0023260800000000003,-0.008408735,0.0,0.62439826
126,0.00199525,-0.007799165,0.0,0.66772595
127,0.0016897,-0.00718737,0.0,0.71039997
128,0.0014094749999999999,-0.006573374999999999,0.0,0.75199085
129,0.00115461,-0.0059572,0.0,0.79202799
130,0.0009251400000000001,-0.005338875,0.0,0.83000968
131,0.0007210960000000001,-0.004718425,0.0,0.86542605
132,0.000542498,-0.004095875,0.0,0.89776684
133,0.00038937149999999996,-0.00347125,0.0,0.92654364
134,0.0002617365,-0.0028445750000000002,0.0,0.95129698
135,0.000159609,-0.002215875,0.0,0.97161644
136,8.300205e-05,-0.001585165,0.0,0.98715884
137,3.192525e-05,-0.0009524705,0.0,0.99766178
138,6.3852e-06,-0.0003178155,0.0,1.0029051
139,6.3852e-06,0.0003178155,0.0,1.0028144
140,3.192525e-05,0.0009524705000000001,0.0,0.9973896
141,8.300204999999999e-05,0.001585165,0.0,0.98670756
142,0.000159609,0.002215875,0.0,0.97099093
143,0.0002617365,0.0028445750000000002,0.0,0.95050196
144,0.00038937149999999996,0.00347125,0.0,0.92558631
145,0.000542498,0.004095875,0.0,0.8966544
146,0.0007210960000000001,0.004718425,0.0,0.86416793
147,0.0009251400000000001,0.005338875,0.0,0.8286147
148,0.00115461,0.005957199999999999,0.0,0.79050721
149,0.001409475,0.006573374999999999,0.0,0.75035388
150,0.0016896999999999997,0.00718737,0.0,0.7086583
151,0.00199525,0.007799165,0.0,0.66588965
152,0.0023260800000000003,0.008408735,0.0,0.62247865
153,0.0026821550000000003,0.009016045,0.0,0.57883584
154,0.0030634349999999998,0.009621069999999999,0.0,0.53531991
155,0.003469865,0.010223804999999999,0.0,0.49223453
156,0.0039013900000000002,0.010824150000000001,0.0,0.44982075
157,0.004357955,0.011422149999999999,0.0,0.40838832
158,0.004839505,0.01201775,0.0,0.36797149
159,0.00534598,0.012610900000000001,0.0,0.32880557
160,0.00587731,0.0132016,0.0,0.29102989
161,0.00643343,0.013789800000000001,0.0,0.25459204
162,0.007014275,0.0143755,0.0,0.21965314
163,0.0076197650000000006,0.014958599999999999,0.0,0.18617727
164,0.008249820000000001,0.01553915,0.0,0.15418015
165,0.00890436,0.016117100000000002,0.0,0.12363714
166,0.009583305,0.01669235,0.0,0.094577547
167,0.010286585,0.0172649,0.0,0.066973319
168,0.011014050000000001,0.01783475,0.0,0.040732033
169,0.011765649999999999,0.018401849999999997,0.0,0.015801179
170,0.01254135,0.0189661,0.0,-0.0078707319
171,0.01334095,0.01952755,0.0,-0.030130128
172,0.01416435,0.0200862,0.0,-0.051370678
173,0.015011549999999999,0.020641899999999998,0.0,-0.071495563
174,0.01588235,0.021194650000000002,0.0,-0.090423191
175,0.01677665,0.0217445,0.0,-0.10838471
176,0.0176944,0.02229135,0.0,-0.1254479
177,0.018635350000000002,0.0228351,0.0,-0.14148053
178,0.019599449999999997,0.023375800000000002,0.0,-0.15667924
179,0.020586649999999998,0.023913399999999998,0.0,-0.17110247
180,0.021596749999999998,0.02444785,0.0,-0.1846874
181,0.02262965,0.02497915,0.0,-0.19755364
182,0.0236852,0.02550725,0.0,-0.20972372
183,0.02476325,0.0260321,0.0,-0.2213162
184,0.025863699999999996,0.0265536,0.0,-0.23216097
185,0.02698635,0.0270718,0.0,-0.24249023
186,0.0281311,0.0275867,0.0,-0.25228063
187,0.0292978,0.028098150000000002,0.0,-0.26154464
188,0.0304863,0.028606200000000002,0.0,-0.27031516
