face_local_index,x_over_c,y_over_c,surface,Cp
108,0.015272299999999999,-0.0157461,lower,0.71164487
109,0.01441895,-0.0153342,lower,0.6628699
110,0.0135886,-0.0149153,lower,0.60832902
111,0.0127814,-0.0144894,lower,0.54753305
112,0.0119974,-0.01405645,lower,0.47987474
113,0.01123675,-0.01361645,lower,0.40478383
114,0.01049955,-0.013169400000000001,lower,0.32168083
115,0.0097859,-0.01271525,lower,0.22996925
116,0.009095935,-0.012254000000000001,lower,0.1289857
117,0.00842971,-0.0117857,lower,0.018171735
118,0.007787334999999999,-0.0113103,lower,-0.1032424
119,0.007168905,-0.0108278,lower,-0.23578108
120,0.00657451,-0.010338199999999999,lower,-0.37995903
121,0.00600423,-0.009841465,lower,-0.53633789
122,0.00545815,-0.00933763,lower,-0.70517242
123,0.004936355,-0.00882668,lower,-0.88688704
124,0.00443892,-0.008308615,lower,-1.0815372
125,0.0039659199999999995,-0.007783430000000001,lower,-1.2890724
126,0.00351743,-0.0072511350000000006,lower,-1.5091377
127,0.00309351,-0.006711725,lower,-1.7411208
128,0.0026942299999999997,-0.006165205,lower,-1.9848247
129,0.002319655,-0.00561158,lower,-2.2384768
130,0.00196984,-0.005050855,lower,-2.500938
131,0.0016448399999999998,-0.004483035,lower,-2.7707553
132,0.0013447049999999999,-0.003908125,lower,-3.0459686
133,0.001069491,-0.003326135,lower,-3.3245724
134,0.0008192445,-0.0027370750000000003,lower,-3.6042612
135,0.000594004,-0.00214096,lower,-3.8830063
136,0.0003938115,-0.001537795,lower,-4.1586289
137,0.000218703,-0.0009275919999999999,lower,-4.4292452
138,6.8712e-05,-0.000310367,lower,-4.6935394
139,-5.59415e-05,0.000312921,upper,-4.9507124
140,-0.0001548525,0.0009403610000000001,upper,-5.2005579
141,-0.00022780750000000002,0.00157099,upper,-5.4382099
142,-0.00027478599999999995,0.00220479,upper,-5.6597008
143,-0.000295771,0.00284174,upper,-5.8627867
144,-0.000290749,0.00348181,upper,-6.0457717
145,-0.0002597095,0.004124975,upper,-6.2074652
146,-0.000202645,0.00477121,upper,-6.3470294
147,-0.0001195523,0.00542048,upper,-6.4638116
148,-1.0430500000000001e-05,0.00607275,upper,-6.558965
149,0.0001247178,0.00672799,upper,-6.6333405
150,0.000285886,0.007386165,upper,-6.6862563
151,0.0004730645,0.00804723,upper,-6.719927
152,0.0006862405,0.008711145,upper,-6.7360211
153,0.000925398,0.009377864999999999,upper,-6.7358952
154,0.00119052,0.01004736,upper,-6.7213103
155,0.0014815800000000001,0.01071955,upper,-6.6939901
156,0.0017985499999999999,0.011394399999999999,upper,-6.655672
157,0.0021414,0.01207185,upper,-6.6080473
158,0.0025101,0.012751849999999999,upper,-6.5530792
159,0.00290462,0.013434350000000001,upper,-6.49207
160,0.00332491,0.014119300000000001,upper,-6.4268382
161,0.0037709299999999996,0.014806650000000001,upper,-6.35909
162,0.004242635,0.015496300000000001,upper,-6.2898538
163,0.00473997,0.0161882,upper,-6.2209238
164,0.00526289,0.0168823,upper,-6.1533358
165,0.00581133,0.0175785,upper,-6.074514
166,0.0063852349999999995,0.01827675,upper,-5.9645578
167,0.006984545,0.018977,upper,-5.8324374
168,0.00760918,0.01967915,upper,-5.70645
169,0.00825908,0.0203831,upper,-5.594306
170,0.008934174999999999,0.0210888,upper,-5.4921948
171,0.00963438,0.0217962,upper,-5.3958236
172,0.010359625,0.0225052,upper,-5.3054853
173,0.0111098,0.0232157,upper,-5.2179268
174,0.011884850000000002,0.02392765,upper,-5.1330312
175,0.01268465,0.024640950000000002,upper,-5.0509952
176,0.013509150000000001,0.02535545,upper,-4.9701357
177,0.01435825,0.02607115,upper,-4.8918636
178,0.0152318,0.02678795,upper,-4.8152172
179,0.0161297,0.027505750000000002,upper,-4.740345
180,0.017051900000000002,0.028224449999999998,upper,-4.6676073
181,0.017998300000000002,0.0289439,upper,-4.5964732
182,0.01896865,0.029664100000000002,upper,-4.5266684
183,0.01996295,0.03038495,upper,-4.4594809
184,0.020981100000000003,0.031106299999999996,upper,-4.3937183
185,0.0220229,0.03182805,upper,-4.3296188
186,0.023088249999999998,0.03255015,upper,-4.2670467
187,0.02417705,0.033272499999999997,upper,-4.206641
188,0.025289150000000003,0.03399495,upper,-4.1479142
189,0.0264244,0.03471745,upper,-4.0901147
190,0.02758265,0.035439849999999995,upper,-4.034522
191,0.02876375,0.0361621,upper,-3.9802856
192,0.0299676,0.0368841,upper,-3.9277197
193,0.031194,0.037605650000000004,upper,-3.8763617
194,0.0324428,0.03832675,upper,-3.8265334
195,0.0337139,0.0390473,upper,-3.7780501
196,0.0350071,0.0397671,upper,-3.7309769
197,0.03632225,0.0404861,upper,-3.6849043
198,0.037659200000000004,0.041204199999999996,upper,-3.6403308
199,0.0390177,0.04192130000000001,upper,-3.5969119
200,0.04039765,0.0426373,upper,-3.5545461
201,0.0417989,0.04335205,upper,-3.5133699
202,0.04322115,0.0440655,upper,-3.4734513
203,0.0446643,0.0447775,upper,-3.4344488
204,0.046128249999999996,0.045487950000000006,upper,-3.3963499
205,0.0476127,0.04619675000000001,upper,-3.359331
206,0.04911745000000001,0.04690375,upper,-3.3231713
207,0.05064235,0.04760895,upper,-3.2880156
208,0.0521872,0.04831215,upper,-3.25375
209,0.0537518,0.049013249999999994,upper,-3.2202516
210,0.055335949999999995,0.0497122,upper,-3.1876198
211,0.05693945,0.05040885,upper,-3.1556359
212,0.0585621,0.05110315,upper,-3.1246332
213,0.06020365,0.05179494999999999,upper,-3.0942905
214,0.06186385,0.0524841,upper,-3.06463
215,0.0635426,0.05317055,upper,-3.0357415
216,0.06523965000000001,0.053854200000000005,upper,-3.0073701
217,0.0669547,0.0545349,upper,-2.97957
218,0.06868755,0.0552126,upper,-2.9525035
219,0.07043805,0.05588725,upper,-2.9260774
220,0.07220589999999999,0.0565587,upper,-2.9002589
221,0.07399085,0.057226799999999994,upper,-2.8748812
222,0.07579274999999999,0.05789145,upper,-2.8501092
223,0.0776113,0.058552599999999996,upper,-2.8257946
224,0.07944625,0.0592102,upper,-2.8019646
225,0.08129739999999999,0.0598641,upper,-2.7787239
226,0.0831645,0.06051415,upper,-2.7558353
227,0.08504724999999999,0.0611603,upper,-2.7333395
228,0.08694545000000001,0.061802499999999996,upper,-2.71145
229,0.08885885,0.06244065,upper,-2.6898569
230,0.09078715,0.06307465000000001,upper,-2.6687697
231,0.09273015000000001,0.0637044,upper,-2.6480091
232,0.09468755000000001,0.06432979999999999,upper,-2.6276831
233,0.0966591,0.0649508,upper,-2.6076266
234,0.09864455,0.0655673,upper,-2.5879622
235,0.10064334999999999,0.0661792,upper,-2.568783
236,0.102656,0.06678645,upper,-2.5497796
237,0.104682,0.06738895,upper,-2.5308449
238,0.10672000000000001,0.06798660000000001,upper,-2.5127827
239,0.10877049999999999,0.0685794,upper,-2.4946102
240,0.1108335,0.0691672,upper,-2.4771045
241,0.1129085,0.06974995,upper,-2.4595271
242,0.1149955,0.07032759999999999,upper,-2.4424888
243,0.117094,0.07090004999999999,upper,-2.4253014
244,0.11920349999999999,0.07146725,upper,-2.4086841
245,0.121324,0.0720291,upper,-2.3921971
246,0.12345500000000001,0.0725856,upper,-2.3758941
247,0.12559599999999999,0.07313665,upper,-2.3602024
248,0.127747,0.0736822,upper,-2.3442381
249,0.1299075,0.07422215,upper,-2.3290292
250,0.13207750000000001,0.0747565,upper,-2.3136723
251,0.13425700000000002,0.0752852,upper,-2.2985717
252,0.1364455,0.0758081,upper,-2.283698
253,0.1386425,0.07632525,upper,-2.2688416
254,0.14084750000000001,0.0768366,upper,-2.2544294
255,0.14306049999999998,0.07734205,upper,-2.2400641
256,0.145281,0.07784155000000001,upper,-2.2259098
257,0.1475085,0.07833509999999999,upper,-2.211966
258,0.1497435,0.07882265,upper,-2.1981888
259,0.1519855,0.07930414999999999,upper,-2.1845023
260,0.1542335,0.0797796,upper,-2.1710376
261,0.1564875,0.0802489,upper,-2.1576662
262,0.15874749999999999,0.08071205000000001,upper,-2.1446482
263,0.16101300000000002,0.08116904999999999,upper,-2.1315095
264,0.16328350000000003,0.08161985,upper,-2.118611
265,0.165559,0.08206440000000001,upper,-2.1060056
266,0.1678395,0.0825027,upper,-2.0932802
267,0.170124,0.0829347,upper,-2.0807972
268,0.17241250000000002,0.0833604,upper,-2.0683954
269,0.174705,0.08377980000000002,upper,-2.0562555
270,0.1770005,0.08419285,upper,-2.0439941
271,0.179299,0.08459955,upper,-2.0321203
272,0.18159999999999998,0.08499989999999999,upper,-2.020202
273,0.1839035,0.0853939,upper,-2.0084828
274,0.1862095,0.0857815,upper,-1.9968826
275,0.188517,0.08616275,upper,-1.985294
276,0.1908255,0.08653759999999999,upper,-1.9737818
277,0.19313550000000002,0.08690605000000001,upper,-1.9628092
278,0.195659,0.08730080000000001,upper,-1.9497924
279,0.19839600000000002,0.08772055000000001,upper,-1.9372402
280,0.20113399999999998,0.08813145,upper,-1.9239692
281,0.2038725,0.0885336,upper,-1.9111929
282,0.20661200000000002,0.08892710000000001,upper,-1.8983948
283,0.2093525,0.089312,upper,-1.8857105
284,0.2120935,0.0896884,upper,-1.8731298
285,0.214835,0.09005635000000001,upper,-1.8607926
286,0.217578,0.0904159,upper,-1.8485492
287,0.2203215,0.09076709999999999,upper,-1.8360194
288,0.2230655,0.09111005,upper,-1.8241411
289,0.2258105,0.09144485000000001,upper,-1.8118931
290,0.228556,0.09177145,upper,-1.8000347
291,0.231302,0.09209,upper,-1.7880631
292,0.2340485,0.09240055,upper,-1.7763252
293,0.236796,0.09270310000000001,upper,-1.7646408
294,0.23954399999999998,0.09299779999999999,upper,-1.7529101
295,0.2422925,0.09328465,upper,-1.7414427
296,0.2450415,0.0935637,upper,-1.7298731
297,0.24779099999999998,0.093835,upper,-1.7185421
298,0.250541,0.0940986,upper,-1.7070824
299,0.2532915,0.0943546,upper,-1.6958399
300,0.25604249999999995,0.09460299999999999,upper,-1.6845508
301,0.25879399999999997,0.0948438,upper,-1.6733624
302,0.261546,0.0950771,upper,-1.6621542
303,0.26429800000000003,0.095303,upper,-1.6510418
304,0.2670505,0.09552150000000001,upper,-1.6400818
305,0.2698035,0.09573265,upper,-1.6289878
306,0.2725565,0.0959365,upper,-1.6181015
307,0.27531,0.09613305,upper,-1.6072413
308,0.278064,0.09632235,upper,-1.5963414
309,0.280818,0.09650445000000002,upper,-1.5855176
310,0.2835725,0.0966794,upper,-1.5747538
311,0.286327,0.09684725,upper,-1.5639494
312,0.2890815,0.09700805,upper,-1.5532943
313,0.291837,0.09716185,upper,-1.5426217
314,0.29459250000000003,0.09730865,upper,-1.5318859
315,0.297348,0.09744844999999999,upper,-1.521325
316,0.30010349999999997,0.0975813,upper,-1.510638
317,0.302859,0.0977073,upper,-1.5000962
318,0.30561499999999997,0.0978265,upper,-1.4895191
319,0.3083715,0.09793885,upper,-1.4790149
320,0.311128,0.0980444,upper,-1.4684172
321,0.313884,0.0981432,upper,-1.4579974
322,0.3166405,0.0982353,upper,-1.4474807
323,0.319397,0.09832074999999998,upper,-1.4370328
324,0.3221535,0.0983995,upper,-1.4266133
325,0.3249105,0.09847165,upper,-1.4161498
326,0.327667,0.09853724999999999,upper,-1.4057363
327,0.3304235,0.09859625,upper,-1.3953279
328,0.3331805,0.0986487,upper,-1.3849043
329,0.335937,0.09869470000000001,upper,-1.3744712
330,0.3386935,0.09873425,upper,-1.364081
331,0.34145,0.09876735,upper,-1.353674
332,0.34420649999999997,0.09879399999999999,upper,-1.3432835
333,0.3469635,0.09881424999999999,upper,-1.332825
334,0.34972,0.0988282,upper,-1.3224466
335,0.352476,0.09883585,upper,-1.3120273
336,0.355232,0.09883715,upper,-1.3016156
337,0.35798849999999993,0.0988322,upper,-1.2912057
338,0.360745,0.09882099999999999,upper,-1.2807627
339,0.3635005,0.09880355,upper,-1.2703267
340,0.366256,0.09877995,upper,-1.2598894
341,0.369012,0.09875015,upper,-1.2493808
342,0.37176750000000003,0.09871419999999999,upper,-1.2389081
343,0.3745225,0.09867215000000001,upper,-1.2283845
344,0.377278,0.098624,upper,-1.2177988
345,0.38003299999999995,0.09856975000000001,upper,-1.2072675
346,0.3827875,0.09850945,upper,-1.1965863
347,0.3855425,0.09844315000000001,upper,-1.1859732
348,0.388297,0.09837085,upper,-1.1752722
349,0.39105100000000004,0.09829260000000001,upper,-1.1645276
350,0.39380499999999996,0.09820835,upper,-1.1537412
351,0.3965585,0.09811814999999999,upper,-1.142874
352,0.3993065,0.0980221,upper,-1.1319978
353,0.4020325,0.0979209,upper,-1.1209276
354,0.404742,0.09781565,upper,-1.109518
355,0.407452,0.0977066,upper,-1.09895
356,0.410162,0.09759375,upper,-1.0884472
357,0.41287149999999995,0.09747719999999999,upper,-1.0781244
358,0.4155805,0.09735695,upper,-1.0679579
359,0.41829,0.097233,upper,-1.0579169
360,0.42099949999999997,0.09710534999999999,upper,-1.0480563
361,0.42370850000000004,0.09697405,upper,-1.0382544
362,0.426417,0.0968391,upper,-1.0285968
363,0.42912549999999994,0.0967005,upper,-1.0190085
364,0.431834,0.0965583,upper,-1.0095394
365,0.434542,0.09641250000000001,upper,-1.0001764
366,0.4372505,0.09626314999999999,upper,-0.99082302
367,0.43995850000000003,0.0961103,upper,-0.9816968
368,0.442666,0.0959539,upper,-0.97250622
369,0.44537400000000005,0.0957939,upper,-0.96346756
370,0.4480815,0.0956304,upper,-0.95446604
371,0.4507885,0.0954635,upper,-0.94552898
372,0.4534955,0.09529309999999999,upper,-0.93665742
373,0.4562025,0.09511925,upper,-0.92785262
374,0.4589095,0.09494195,upper,-0.91909209
375,0.461616,0.0947612,upper,-0.91040676
376,0.464322,0.0945771,upper,-0.90173484
377,0.467028,0.0943896,upper,-0.89314516
378,0.469734,0.0941987,upper,-0.88459375
379,0.47244,0.09400445000000002,upper,-0.87609365
380,0.4751455,0.0938069,upper,-0.86765732
381,0.47785049999999996,0.093606,upper,-0.85923619
382,0.4805555,0.09340175,upper,-0.85087225
383,0.4832605,0.0931942,upper,-0.84252998
384,0.485965,0.0929834,upper,-0.8342837
385,0.4886695,0.0927693,upper,-0.82598658
386,0.491374,0.09255195,upper,-0.81782422
387,0.494078,0.09233135,upper,-0.80962423
388,0.4967815,0.09210750000000001,upper,-0.80150724
389,0.49948499999999996,0.0918805,upper,-0.7933618
390,0.5021884999999999,0.09165025,upper,-0.7853321
391,0.504891,0.0914168,upper,-0.77727998
392,0.5075935,0.09118014999999999,upper,-0.76923191
393,0.5102964999999999,0.09094035,upper,-0.76127396
394,0.512999,0.09069740000000001,upper,-0.75333863
395,0.515701,0.09045130000000001,upper,-0.74539956
396,0.5184025,0.09020210000000001,upper,-0.73753614
397,0.521104,0.08994975,upper,-0.72963931
398,0.5238054999999999,0.08969425,upper,-0.72183282
399,0.5265059999999999,0.08943565,upper,-0.71402252
400,0.5292064999999999,0.08917405,upper,-0.70621053
401,0.5319069999999999,0.08890935,upper,-0.69850447
402,0.534607,0.08864154999999999,upper,-0.69074604
403,0.537307,0.0883707,upper,-0.68305742
404,0.540007,0.08809685,upper,-0.67538498
405,0.5427065,0.08781995000000001,upper,-0.6677501
406,0.5454055,0.08754,upper,-0.66010952
407,0.5481045,0.0872571,upper,-0.65252083
408,0.5508029999999999,0.08697115,upper,-0.64495944
409,0.553501,0.0866822,upper,-0.63739701
410,0.556199,0.0863903,upper,-0.62987372
411,0.5588965,0.08609544999999999,upper,-0.62240561
412,0.5615939999999999,0.0857976,upper,-0.61490416
413,0.5642915,0.0854968,upper,-0.60749423
414,0.566988,0.0851931,upper,-0.60008851
