# NACA0012 V9 SST AoA = 14.5 deg
# x/c          y/c          Cp
0.3311040000  -0.0597905000  0.3625271111
0.3337790000  -0.0597531000  0.3598115556
0.3364550000  -0.0597129000  0.3571271111
0.3391300000  -0.0596700000  0.3544675556
0.3418060000  -0.0596242000  0.3518311111
0.3444820000  -0.0595758000  0.3492248889
0.3471570000  -0.0595246000  0.3466533333
0.3498330000  -0.0594707000  0.3441164444
0.3525080000  -0.0594142000  0.3416115556
0.3551840000  -0.0593551000  0.3391280000
0.3578600000  -0.0592934000  0.3366684444
0.3605350000  -0.0592291000  0.3342542222
0.3632110000  -0.0591622000  0.3318648889
0.3658860000  -0.0590928000  0.3294995556
0.3685620000  -0.0590210000  0.3271520000
0.3712370000  -0.0589466000  0.3248275556
0.3739130000  -0.0588699000  0.3225333333
0.3765890000  -0.0587907000  0.3202524444
0.3792640000  -0.0587090000  0.3180186667
0.3819400000  -0.0586251000  0.3158008889
0.3846150000  -0.0585387000  0.3136106667
0.3872910000  -0.0584501000  0.3114488889
0.3899670000  -0.0583591000  0.3092906667
0.3926420000  -0.0582659000  0.3071715556
0.3953180000  -0.0581704000  0.3050693333
0.3979930000  -0.0580726000  0.3029840000
0.4006690000  -0.0579727000  0.3009208889
0.4033440000  -0.0578705000  0.2988782222
0.4060200000  -0.0577661000  0.2968657778
0.4086960000  -0.0576596000  0.2948604444
0.4113710000  -0.0575510000  0.2928826667
0.4140470000  -0.0574402000  0.2909217778
0.4167220000  -0.0573274000  0.2889831111
0.4193980000  -0.0572124000  0.2870702222
0.4220740000  -0.0570954000  0.2851626667
0.4247490000  -0.0569764000  0.2832888889
0.4274250000  -0.0568553000  0.2814248889
0.4301000000  -0.0567322000  0.2795804444
0.4327760000  -0.0566072000  0.2777537778
0.4354520000  -0.0564801000  0.2759288889
0.4381270000  -0.0563512000  0.2741377778
0.4408030000  -0.0562202000  0.2723573333
0.4434780000  -0.0560874000  0.2705982222
0.4461540000  -0.0559527000  0.2688453333
0.4488290000  -0.0558161000  0.2671075556
0.4515050000  -0.0556776000  0.2654026667
0.4541810000  -0.0555372000  0.2636960000
0.4568560000  -0.0553951000  0.2620168889
0.4595320000  -0.0552511000  0.2603475556
0.4622070000  -0.0551053000  0.2586968889
0.4648830000  -0.0549577000  0.2570622222
0.4675590000  -0.0548083000  0.2554257778
0.4702340000  -0.0546572000  0.2538248889
0.4729100000  -0.0545043000  0.2522266667
0.4755850000  -0.0543497000  0.2506444444
0.4782610000  -0.0541934000  0.2490693333
0.4809360000  -0.0540354000  0.2475057778
0.4836120000  -0.0538757000  0.2459653333
0.4862880000  -0.0537143000  0.2444195556
0.4889630000  -0.0535513000  0.2429022222
0.4916390000  -0.0533866000  0.2413902222
0.4943140000  -0.0532203000  0.2398951111
0.4969900000  -0.0530524000  0.2384133333
0.4996660000  -0.0528828000  0.2369244444
0.5023410000  -0.0527117000  0.2354728889
0.5050170000  -0.0525389000  0.2340337778
0.5076920000  -0.0523646000  0.2325982222
0.5103680000  -0.0521888000  0.2311653333
0.5130430000  -0.0520114000  0.2297457778
0.5157190000  -0.0518325000  0.2283440000
0.5183950000  -0.0516520000  0.2269324444
0.5210700000  -0.0514700000  0.2255573333
0.5237460000  -0.0512866000  0.2241813333
0.5264210000  -0.0511016000  0.2228088889
0.5290970000  -0.0509152000  0.2214595556
0.5317730000  -0.0507273000  0.2200906667
0.5344480000  -0.0505379000  0.2187617778
0.5371240000  -0.0503471000  0.2174364444
0.5397990000  -0.0501549000  0.2161137778
0.5424750000  -0.0499612000  0.2148124444
0.5451510000  -0.0497661000  0.2134897778
0.5478260000  -0.0495697000  0.2122035556
0.5505020000  -0.0493718000  0.2109164444
0.5531770000  -0.0491725000  0.2096444444
0.5558530000  -0.0489719000  0.2083813333
0.5585280000  -0.0487699000  0.2071155556
0.5612040000  -0.0485665000  0.2058711111
0.5638800000  -0.0483618000  0.2046115556
0.5665550000  -0.0481557000  0.2033902222
0.5692310000  -0.0479483000  0.2021635556
0.5719060000  -0.0477396000  0.2009386667
0.5745820000  -0.0475296000  0.1997315556
0.5772580000  -0.0473183000  0.1985013333
0.5799330000  -0.0471056000  0.1973182222
0.5826090000  -0.0468917000  0.1961262222
0.5852840000  -0.0466765000  0.1949360000
0.5879600000  -0.0464601000  0.1937546667
0.5906350000  -0.0462423000  0.1925822222
0.5933110000  -0.0460233000  0.1914257778
0.5959870000  -0.0458031000  0.1902417778
0.5986620000  -0.0455816000  0.1890995556
0.6013380000  -0.0453589000  0.1879511111
0.6040130000  -0.0451349000  0.1868097778
0.6066890000  -0.0449098000  0.1856817778
0.6093650000  -0.0446834000  0.1845288889
0.6120400000  -0.0444558000  0.1834177778
0.6147160000  -0.0442270000  0.1823004444
0.6173910000  -0.0439970000  0.1811911111
0.6200670000  -0.0437658000  0.1800880000
0.6227420000  -0.0435334000  0.1789875556
0.6254180000  -0.0432999000  0.1779022222
0.6280940000  -0.0430651000  0.1767902222
0.6307690000  -0.0428293000  0.1757164444
0.6334450000  -0.0425922000  0.1746364444
0.6361200000  -0.0423540000  0.1735600000
0.6387960000  -0.0421147000  0.1725004444
0.6414720000  -0.0418742000  0.1714071111
0.6441470000  -0.0416326000  0.1703520000
0.6468230000  -0.0413898000  0.1692995556
0.6494980000  -0.0411459000  0.1682551111
0.6521740000  -0.0409009000  0.1672062222
0.6548490000  -0.0406548000  0.1661573333
0.6575250000  -0.0404075000  0.1651271111
0.6602010000  -0.0401592000  0.1640720000
0.6628760000  -0.0399097000  0.1630533333
0.6655520000  -0.0396591000  0.1620293333
0.6682270000  -0.0394075000  0.1610080000
0.6709030000  -0.0391547000  0.1599982222
0.6735790000  -0.0389009000  0.1589591111
0.6762540000  -0.0386460000  0.1579564444
0.6789300000  -0.0383900000  0.1569475556
0.6816050000  -0.0381329000  0.1559502222
0.6842810000  -0.0378747000  0.1549644444
0.6869570000  -0.0376155000  0.1539395556
0.6896320000  -0.0373552000  0.1529653333
0.6923080000  -0.0370938000  0.1519804444
0.6949830000  -0.0368314000  0.1509937778
0.6976590000  -0.0365679000  0.1500151111
0.7003340000  -0.0363034000  0.1490373333
0.7030100000  -0.0360378000  0.1480684444
0.7056860000  -0.0357712000  0.1470666667
0.7083610000  -0.0355035000  0.1461146667
0.7110370000  -0.0352348000  0.1451466667
0.7137120000  -0.0349650000  0.1441813333
0.7163880000  -0.0346942000  0.1432364444
0.7190640000  -0.0344224000  0.1422480000
0.7217390000  -0.0341495000  0.1413048889
0.7244150000  -0.0338756000  0.1403564444
0.7270900000  -0.0336006000  0.1394062222
0.7297660000  -0.0333247000  0.1384586667
0.7324410000  -0.0330477000  0.1375120000
0.7351170000  -0.0327696000  0.1365813333
0.7377930000  -0.0324906000  0.1356168889
0.7404680000  -0.0322105000  0.1346933333
0.7431440000  -0.0319294000  0.1337564444
0.7458190000  -0.0316473000  0.1328240000
0.7484950000  -0.0313641000  0.1319066667
0.7511710000  -0.0310799000  0.1309528889
0.7538460000  -0.0307948000  0.1300400000
0.7565220000  -0.0305085000  0.1291155556
0.7591970000  -0.0302213000  0.1281991111
0.7618730000  -0.0299331000  0.1272764444
0.7645480000  -0.0296438000  0.1263608889
0.7672240000  -0.0293535000  0.1254604444
0.7699000000  -0.0290622000  0.1245200000
0.7725750000  -0.0287699000  0.1236231111
0.7752510000  -0.0284766000  0.1227093333
0.7779260000  -0.0281823000  0.1217991111
0.7806020000  -0.0278869000  0.1209013333
0.7832780000  -0.0275905000  0.1199724444
0.7859530000  -0.0272931000  0.1190915556
0.7886290000  -0.0269947000  0.1181822222
0.7913040000  -0.0266953000  0.1172791111
0.7939800000  -0.0263948000  0.1163964444
0.7966560000  -0.0260934000  0.1154648889
0.7993310000  -0.0257909000  0.1145768889
0.8020070000  -0.0254874000  0.1136808889
0.8046820000  -0.0251828000  0.1127955556
0.8073580000  -0.0248773000  0.1118995556
0.8100330000  -0.0245707000  0.1110026667
0.8127090000  -0.0242631000  0.1101253333
0.8153850000  -0.0239544000  0.1092053333
0.8180600000  -0.0236447000  0.1083395556
0.8207360000  -0.0233340000  0.1074515556
0.8234110000  -0.0230223000  0.1065564444
0.8260870000  -0.0227095000  0.1056835556
0.8287630000  -0.0223957000  0.1047644444
0.8314380000  -0.0220809000  0.1038924444
0.8341140000  -0.0217650000  0.1029973333
0.8367890000  -0.0214481000  0.1021084444
0.8394650000  -0.0211301000  0.1012284444
0.8421400000  -0.0208111000  0.1003404444
0.8448160000  -0.0204910000  0.0994640000
0.8474920000  -0.0201699000  0.0985431111
0.8501670000  -0.0198477000  0.0976720000
0.8528430000  -0.0195245000  0.0967786667
0.8555180000  -0.0192002000  0.0958862222
0.8581940000  -0.0188748000  0.0950151111
0.8608700000  -0.0185484000  0.0940897778
0.8635450000  -0.0182209000  0.0932088889
0.8662210000  -0.0178924000  0.0923111111
0.8688960000  -0.0175627000  0.0914133333
0.8715720000  -0.0172320000  0.0905173333
0.8742470000  -0.0169002000  0.0896142222
0.8769230000  -0.0165673000  0.0887277333
0.8795990000  -0.0162333000  0.0877848889
0.8822740000  -0.0158983000  0.0868889778
0.8849500000  -0.0155621000  0.0859704889
0.8876250000  -0.0152248000  0.0850570667
0.8903010000  -0.0148864000  0.0841560000
0.8929770000  -0.0145469000  0.0831914667
0.8956520000  -0.0142063000  0.0822798222
0.8983280000  -0.0138646000  0.0813394667
0.9010030000  -0.0135218000  0.0803904000
0.9036790000  -0.0131778000  0.0794545778
0.9063550000  -0.0128327000  0.0784575111
0.9090300000  -0.0124865000  0.0775079111
0.9117060000  -0.0121391000  0.0765306667
0.9143810000  -0.0117906000  0.0755448889
0.9170570000  -0.0114409000  0.0745477333
0.9197320000  -0.0110901000  0.0735409778
0.9224080000  -0.0107381000  0.0725256000
0.9250840000  -0.0103850000  0.0714497778
0.9277590000  -0.0100306000  0.0704201778
0.9304350000  -0.0096751500  0.0693410667
0.9331100000  -0.0093184700  0.0682484444
0.9357860000  -0.0089606000  0.0671466667
0.9384620000  -0.0086015500  0.0659685333
0.9411370000  -0.0082412900  0.0648202667
0.9438130000  -0.0078798300  0.0636211556
0.9464880000  -0.0075171600  0.0623887111
0.9491640000  -0.0071532800  0.0611190222
0.9518390000  -0.0067881700  0.0598021333
0.9545150000  -0.0064218400  0.0584525333
0.9571910000  -0.0060542700  0.0569935111
0.9598660000  -0.0056854600  0.0555288889
0.9625420000  -0.0053154100  0.0539709333
0.9652170000  -0.0049441000  0.0523248000
0.9678930000  -0.0045715400  0.0505969778
0.9705690000  -0.0041977000  0.0486957333
0.9732440000  -0.0038226000  0.0467155556
0.9759200000  -0.0034462100  0.0445412444
0.9785950000  -0.0030685400  0.0421642667
0.9812710000  -0.0026895800  0.0395130667
0.9839460000  -0.0023093100  0.0365496000
0.9866220000  -0.0019277400  0.0330533333
0.9892980000  -0.0015448500  0.0290776889
0.9919730000  -0.0011606400  0.0234912000
0.9946490000  -0.0007750980  0.0176995556
0.9973240000  -0.0003882210  0.0033758133
