# NACA0012 V9 SST AoA = 14.5 deg
# x/c          y/c          Cp
0.0024978100  -0.0087129600  -2.6106222222
0.0021543500  -0.0081045100  -2.9033600000
0.0018361500  -0.0074938200  -3.2084533333
0.0015432500  -0.0068809200  -3.5245511111
0.0012757000  -0.0062658300  -3.8499644444
0.0010335200  -0.0056485700  -4.1827022222
0.0008167600  -0.0050291800  -4.5204533333
0.0006254320  -0.0044076700  -4.8606933333
0.0004595640  -0.0037840800  -5.2007466667
0.0003191790  -0.0031584200  -5.5378044444
0.0002042940  -0.0025307300  -5.8690755556
0.0001149240  -0.0019010200  -6.1919377778
0.0000510801  -0.0012693100  -6.5041066667
0.0000127704  -0.0006356310  -6.8038666667
0.0000000000  0.0000000000  -7.0903200000
0.0000127704  0.0006356310  -7.3634044444
0.0000510801  0.0012693100  -7.6203822222
0.0001149240  0.0019010200  -7.8561777778
0.0002042940  0.0025307300  -8.0672977778
0.0003191790  0.0031584200  -8.2516977778
0.0004595640  0.0037840800  -8.4086666667
0.0006254320  0.0044076700  -8.5375555556
0.0008167600  0.0050291800  -8.6378666667
0.0010335200  0.0056485700  -8.7101244444
0.0012757000  0.0062658300  -8.7557333333
0.0015432500  0.0068809200  -8.7763377778
0.0018361500  0.0074938200  -8.7736977778
0.0021543500  0.0081045100  -8.7501155556
0.0024978100  0.0087129600  -8.7080088889
0.0028665000  0.0093191300  -8.6499555556
0.0032603700  0.0099230100  -8.5786844444
0.0036793600  0.0105246000  -8.4973333333
0.0041234200  0.0111237000  -8.4084533333
0.0045924900  0.0117206000  -8.3151555556
0.0050865200  0.0123149000  -8.2204355556
0.0056054400  0.0129069000  -8.1151733333
0.0061491800  0.0134963000  -7.9752533333
0.0067176800  0.0140833000  -7.7949333333
0.0073108700  0.0146677000  -7.6035822222
0.0079286600  0.0152495000  -7.4263555556
0.0085709800  0.0158288000  -7.2638222222
0.0092377400  0.0164054000  -7.1095644444
0.0099288700  0.0169793000  -6.9612177778
0.0106443000  0.0175505000  -6.8171733333
0.0113838000  0.0181190000  -6.6767200000
0.0121475000  0.0186847000  -6.5395733333
0.0129352000  0.0192475000  -6.4046044444
0.0137467000  0.0198076000  -6.2727022222
0.0145820000  0.0203648000  -6.1437155556
0.0154411000  0.0209190000  -6.0172711111
0.0163236000  0.0214703000  -5.8938400000
0.0172297000  0.0220187000  -5.7736444444
0.0181591000  0.0225640000  -5.6562933333
0.0191116000  0.0231062000  -5.5419555556
0.0200873000  0.0236454000  -5.4307555556
0.0210860000  0.0241814000  -5.3223911111
0.0221075000  0.0247143000  -5.2171733333
0.0231518000  0.0252440000  -5.1149422222
0.0242186000  0.0257705000  -5.0156266667
0.0253079000  0.0262937000  -4.9191733333
0.0264195000  0.0268135000  -4.8255555556
0.0275532000  0.0273301000  -4.7347111111
0.0287090000  0.0278433000  -4.6463377778
0.0298866000  0.0283530000  -4.5607200000
0.0310860000  0.0288594000  -4.4777155556
0.0323069000  0.0293622000  -4.3969244444
0.0335493000  0.0298615000  -4.3184088889
0.0348129000  0.0303573000  -4.2423022222
0.0360976000  0.0308495000  -4.1685333333
0.0374032000  0.0313381000  -4.0968888889
0.0387296000  0.0318231000  -4.0271644444
0.0400766000  0.0323043000  -3.9593866667
0.0414441000  0.0327819000  -3.8935911111
0.0428317000  0.0332556000  -3.8297511111
0.0442395000  0.0337257000  -3.7677066667
0.0456671000  0.0341919000  -3.7072177778
0.0471144000  0.0346542000  -3.6483288889
0.0485813000  0.0351127000  -3.5912266667
0.0500675000  0.0355673000  -3.5357155556
0.0515728000  0.0360179000  -3.4816355556
0.0530971000  0.0364646000  -3.4289511111
0.0546402000  0.0369073000  -3.3775822222
0.0562018000  0.0373460000  -3.3276000000
0.0577818000  0.0377806000  -3.2789422222
0.0593800000  0.0382111000  -3.2315644444
0.0609961000  0.0386376000  -3.1854133333
0.0626299000  0.0390599000  -3.1403466667
0.0642813000  0.0394781000  -3.0963644444
0.0659501000  0.0398921000  -3.0534400000
0.0676359000  0.0403018000  -3.0115555556
0.0693387000  0.0407074000  -2.9707555556
0.0710581000  0.0411087000  -2.9309688889
0.0727940000  0.0415058000  -2.8920977778
0.0745462000  0.0418986000  -2.8541155556
0.0763144000  0.0422870000  -2.8168977778
0.0780983000  0.0426711000  -2.7805333333
0.0798979000  0.0430509000  -2.7450133333
0.0817128000  0.0434263000  -2.7103555556
0.0835427000  0.0437974000  -2.6765244444
0.0853876000  0.0441640000  -2.6433777778
0.0872471000  0.0445263000  -2.6109511111
0.0891210000  0.0448841000  -2.5791822222
0.0910090000  0.0452375000  -2.5480533333
0.0929110000  0.0455864000  -2.5176000000
0.0948266000  0.0459309000  -2.4877600000
0.0967557000  0.0462709000  -2.4585688889
0.0986980000  0.0466064000  -2.4299911111
0.1006530000  0.0469374000  -2.4020266667
0.1026210000  0.0472640000  -2.3746044444
0.1046010000  0.0475860000  -2.3476711111
0.1065940000  0.0479035000  -2.3212444444
0.1085980000  0.0482165000  -2.2953244444
0.1106140000  0.0485250000  -2.2698933333
0.1126420000  0.0488290000  -2.2449777778
0.1146810000  0.0491285000  -2.2205333333
0.1167300000  0.0494234000  -2.1965688889
0.1187900000  0.0497138000  -2.1730755556
0.1208610000  0.0499997000  -2.1499555556
0.1229420000  0.0502811000  -2.1272533333
0.1250320000  0.0505579000  -2.1049511111
0.1271320000  0.0508303000  -2.0830488889
0.1292420000  0.0510982000  -2.0615377778
0.1313600000  0.0513615000  -2.0403644444
0.1334870000  0.0516204000  -2.0195822222
0.1356230000  0.0518747000  -1.9991822222
0.1377670000  0.0521247000  -1.9791200000
0.1399190000  0.0523701000  -1.9594133333
0.1420780000  0.0526111000  -1.9400355556
0.1442450000  0.0528476000  -1.9209688889
0.1464190000  0.0530798000  -1.9022044444
0.1486000000  0.0533075000  -1.8837244444
0.1507880000  0.0535308000  -1.8655377778
0.1529810000  0.0537497000  -1.8476533333
0.1551810000  0.0539643000  -1.8300444444
0.1573870000  0.0541745000  -1.8127555556
0.1595970000  0.0543804000  -1.7957155556
0.1618140000  0.0545820000  -1.7789511111
0.1640350000  0.0547793000  -1.7624533333
0.1662600000  0.0549723000  -1.7462044444
0.1684900000  0.0551611000  -1.7301955556
0.1707240000  0.0553457000  -1.7144177778
