point_index,x_over_c,y_over_c,surface,Cp
137,0.01147663,-0.01376006,lower,0.41381
138,0.01323984,-0.0147361,lower,0.56712
139,0.01514651,-0.01568878,lower,0.68875
140,0.01720769,-0.01662015,lower,0.78379
141,0.01943705,-0.01753207,lower,0.85679
142,0.02185118,-0.01842619,lower,0.91127
143,0.02446996,-0.01930384,lower,0.95054
144,0.02731688,-0.02016591,lower,0.97691
145,0.03041938,-0.02101274,lower,0.99269
146,0.03380917,-0.02184398,lower,0.99946
147,0.03752271,-0.02265846,lower,0.99874
148,0.04160157,-0.02345406,lower,0.99168
149,0.04609147,-0.02422731,lower,0.9794
150,0.05103941,-0.02497295,lower,0.96266
151,0.05649004,-0.02568374,lower,0.94246
152,0.06248174,-0.02635062,lower,0.91941
153,0.06904195,-0.0269632,lower,0.89443
154,0.07618168,-0.02751044,lower,0.86813
155,0.08389131,-0.02798177,lower,0.84129
156,0.09213996,-0.02836836,lower,0.8145
157,0.1008792,-0.02866419,lower,0.7883
158,0.1100498,-0.02886663,lower,0.76309
159,0.1195892,-0.02897636,lower,0.73914
160,0.1294381,-0.02899678,lower,0.7166
161,0.1395438,-0.02893324,lower,0.69554
162,0.1498622,-0.02879227,lower,0.67593
163,0.1603572,-0.02858093,lower,0.65772
164,0.1710003,-0.02830646,lower,0.64082
165,0.181769,-0.0279759,lower,0.62513
166,0.1926454,-0.02759605,lower,0.61055
167,0.2036156,-0.02717331,lower,0.59698
168,0.214668,-0.02671375,lower,0.58431
169,0.2257933,-0.02622301,lower,0.57245
170,0.2369833,-0.02570644,lower,0.56132
171,0.2482305,-0.02516905,lower,0.55082
172,0.2595276,-0.02461562,lower,0.54088
173,0.2708661,-0.02405071,lower,0.53144
174,0.2822357,-0.02347875,lower,0.52243
175,0.2936215,-0.02290419,lower,0.51378
176,0.3050054,-0.02233138,lower,0.50545
177,0.3163755,-0.02176411,lower,0.49739
178,0.327726,-0.02120562,lower,0.48952
179,0.3390551,-0.0206587,lower,0.48178
180,0.3503634,-0.02012581,lower,0.47411
181,0.3616535,-0.01960915,lower,0.46642
182,0.3729302,-0.01911065,lower,0.4586
183,0.384202,-0.01863198,lower,0.45053
184,0.3954783,-0.01817522,lower,0.44186
185,0.4067899,-0.01773691,lower,0.43193
186,0.418127,-0.01729431,lower,0.4227
187,0.429488,-0.016841,lower,0.41433
188,0.4408685,-0.01637941,lower,0.40647
189,0.4522666,-0.01591089,lower,0.39903
190,0.4636801,-0.01543685,lower,0.39191
191,0.4751068,-0.01495863,lower,0.38505
192,0.4865442,-0.01447754,lower,0.37838
193,0.4979893,-0.01399486,lower,0.37189
194,0.5094369,-0.01351186,lower,0.36553
195,0.520882,-0.01302978,lower,0.35927
196,0.5323215,-0.0125497,lower,0.35311
197,0.543754,-0.01207258,lower,0.34701
198,0.5551789,-0.01159928,lower,0.34097
199,0.5665962,-0.01113057,lower,0.33495
200,0.5780058,-0.01066718,lower,0.32895
201,0.5894084,-0.01020977,lower,0.32296
202,0.6008041,-0.009758933,lower,0.31694
203,0.6121936,-0.009315239,lower,0.3109
204,0.6235773,-0.008879197,lower,0.30481
205,0.6349557,-0.008451275,lower,0.29867
206,0.6463293,-0.008031901,lower,0.29246
207,0.6576985,-0.007621461,lower,0.28615
208,0.6690638,-0.007220305,lower,0.27975
209,0.6804257,-0.006828743,lower,0.27324
