NACA4412 SHARP TE V9
    1.000000       0.000000    
   0.9947616      0.1475588E-02
   0.9880091      0.3359849E-02
   0.9804732      0.5439249E-02
   0.9721927      0.7695802E-02
   0.9632616      0.1009675E-01
   0.9538077      0.1260138E-01
   0.9439637      0.1516952E-01
   0.9338444      0.1776750E-01
   0.9235382      0.2037020E-01
   0.9131072      0.2296036E-01
   0.9025931      0.2552675E-01
   0.8920227      0.2806231E-01
   0.8814131      0.3056274E-01
   0.8707750      0.3302543E-01
   0.8601152      0.3544883E-01
   0.8494380      0.3783202E-01
   0.8387461      0.4017445E-01
   0.8280416      0.4247581E-01
   0.8173257      0.4473588E-01
   0.8065994      0.4695453E-01
   0.7958634      0.4913164E-01
   0.7851184      0.5126712E-01
   0.7743649      0.5336087E-01
   0.7636035      0.5541278E-01
   0.7528347      0.5742273E-01
   0.7420589      0.5939057E-01
   0.7312767      0.6131616E-01
   0.7204884      0.6319931E-01
   0.7096945      0.6503982E-01
   0.6988955      0.6683747E-01
   0.6880918      0.6859203E-01
   0.6772840      0.7030323E-01
   0.6664724      0.7197078E-01
   0.6556576      0.7359438E-01
   0.6448400      0.7517368E-01
   0.6340201      0.7670835E-01
   0.6231984      0.7819798E-01
   0.6123754      0.7964219E-01
   0.6015516      0.8104053E-01
   0.5907275      0.8239256E-01
   0.5799037      0.8369779E-01
   0.5690806      0.8495571E-01
   0.5582590      0.8616578E-01
   0.5474393      0.8732745E-01
   0.5366223      0.8844012E-01
   0.5258084      0.8950316E-01
   0.5149986      0.9051592E-01
   0.5041936      0.9147772E-01
   0.4933944      0.9238781E-01
   0.4826023      0.9324544E-01
   0.4718186      0.9404980E-01
   0.4610457      0.9480002E-01
   0.4502864      0.9549518E-01
   0.4395451      0.9613429E-01
   0.4288285      0.9671633E-01
   0.4181471      0.9723998E-01
   0.4075155      0.9770491E-01
   0.3969629      0.9810431E-01
   0.3864910      0.9841990E-01
   0.3760671      0.9864663E-01
   0.3656804      0.9878617E-01
   0.3553225      0.9883787E-01
   0.3449896      0.9880120E-01
   0.3346800      0.9867535E-01
   0.3243933      0.9845945E-01
   0.3141300      0.9815253E-01
   0.3038911      0.9775359E-01
   0.2936784      0.9726157E-01
   0.2834937      0.9667541E-01
   0.2733392      0.9599400E-01
   0.2632174      0.9521619E-01
   0.2531313      0.9434083E-01
   0.2430838      0.9336675E-01
   0.2330784      0.9229277E-01
   0.2231190      0.9111769E-01
   0.2132100      0.8984035E-01
   0.2033562      0.8845959E-01
   0.1935634      0.8697434E-01
   0.1838379      0.8538362E-01
   0.1741876      0.8368666E-01
   0.1646213      0.8188291E-01
   0.1551498      0.7997226E-01
   0.1457862      0.7795517E-01
   0.1365463      0.7583298E-01
   0.1274494      0.7360823E-01
   0.1185191      0.7128515E-01
   0.1097840      0.6887022E-01
   0.1012783      0.6637277E-01
   0.9304158E-01  0.6380564E-01
   0.8511777E-01  0.6118550E-01
   0.7755311E-01  0.5853280E-01
   0.7039232E-01  0.5587100E-01
   0.6367393E-01  0.5322507E-01
   0.5742570E-01  0.5061936E-01
   0.5166134E-01  0.4807540E-01
   0.4637948E-01  0.4561015E-01
   0.4156511E-01  0.4323518E-01
   0.3719270E-01  0.4095667E-01
   0.3322989E-01  0.3877611E-01
   0.2964105E-01  0.3669134E-01
   0.2639009E-01  0.3469765E-01
   0.2344257E-01  0.3278881E-01
   0.2076682E-01  0.3095784E-01
   0.1833443E-01  0.2919751E-01
   0.1612042E-01  0.2750069E-01
   0.1410305E-01  0.2586054E-01
   0.1226363E-01  0.2427063E-01
   0.1058626E-01  0.2272501E-01
   0.9057529E-02  0.2121820E-01
   0.7666261E-02  0.1974526E-01
   0.6403239E-02  0.1830175E-01
   0.5260986E-02  0.1688372E-01
   0.4233641E-02  0.1548779E-01
   0.3316728E-02  0.1411117E-01
   0.2506937E-02  0.1275166E-01
   0.1802039E-02  0.1140785E-01
   0.1200590E-02  0.1007906E-01
   0.7016722E-03  0.8765488E-02
   0.3047774E-03  0.7468902E-02
   0.8765977E-05  0.6190261E-02
  -0.1874960E-03  0.4933378E-02
  -0.2860538E-03  0.3707157E-02
  -0.2908626E-03  0.2496155E-02
  -0.1999701E-03  0.1273691E-02
  -0.7106741E-05  0.3575240E-04
   0.2933567E-03 -0.1211234E-02
   0.7074015E-03 -0.2459291E-02
   0.1239699E-02 -0.3700414E-02
   0.1892864E-02 -0.4927023E-02
   0.2667680E-02 -0.6132649E-02
   0.3563713E-02 -0.7312409E-02
   0.4580060E-02 -0.8463063E-02
   0.5716006E-02 -0.9582912E-02
   0.6971587E-02 -0.1067157E-01
   0.8348050E-02 -0.1172969E-01
   0.9848209E-02 -0.1275859E-01
   0.1147663E-01 -0.1376006E-01
   0.1323984E-01 -0.1473610E-01
   0.1514651E-01 -0.1568878E-01
   0.1720769E-01 -0.1662015E-01
   0.1943705E-01 -0.1753207E-01
   0.2185118E-01 -0.1842619E-01
   0.2446996E-01 -0.1930384E-01
   0.2731688E-01 -0.2016591E-01
   0.3041938E-01 -0.2101274E-01
   0.3380917E-01 -0.2184398E-01
   0.3752271E-01 -0.2265846E-01
   0.4160157E-01 -0.2345406E-01
   0.4609147E-01 -0.2422731E-01
   0.5103941E-01 -0.2497295E-01
   0.5649004E-01 -0.2568374E-01
   0.6248174E-01 -0.2635062E-01
   0.6904195E-01 -0.2696320E-01
   0.7618168E-01 -0.2751044E-01
   0.8389131E-01 -0.2798177E-01
   0.9213996E-01 -0.2836836E-01
   0.1008792     -0.2866419E-01
   0.1100498     -0.2886663E-01
   0.1195892     -0.2897636E-01
   0.1294381     -0.2899678E-01
   0.1395438     -0.2893324E-01
   0.1498622     -0.2879227E-01
   0.1603572     -0.2858093E-01
   0.1710003     -0.2830646E-01
   0.1817690     -0.2797590E-01
   0.1926454     -0.2759605E-01
   0.2036156     -0.2717331E-01
   0.2146680     -0.2671375E-01
   0.2257933     -0.2622301E-01
   0.2369833     -0.2570644E-01
   0.2482305     -0.2516905E-01
   0.2595276     -0.2461562E-01
   0.2708661     -0.2405071E-01
   0.2822357     -0.2347875E-01
   0.2936215     -0.2290419E-01
   0.3050054     -0.2233138E-01
   0.3163755     -0.2176411E-01
   0.3277260     -0.2120562E-01
   0.3390551     -0.2065870E-01
   0.3503634     -0.2012581E-01
   0.3616535     -0.1960915E-01
   0.3729302     -0.1911065E-01
   0.3842020     -0.1863198E-01
   0.3954783     -0.1817522E-01
   0.4067899     -0.1773691E-01
   0.4181270     -0.1729431E-01
   0.4294880     -0.1684100E-01
   0.4408685     -0.1637941E-01
   0.4522666     -0.1591089E-01
   0.4636801     -0.1543685E-01
   0.4751068     -0.1495863E-01
   0.4865442     -0.1447754E-01
   0.4979893     -0.1399486E-01
   0.5094369     -0.1351186E-01
   0.5208820     -0.1302978E-01
   0.5323215     -0.1254970E-01
   0.5437540     -0.1207258E-01
   0.5551789     -0.1159928E-01
   0.5665962     -0.1113057E-01
   0.5780058     -0.1066718E-01
   0.5894084     -0.1020977E-01
   0.6008041     -0.9758933E-02
   0.6121936     -0.9315239E-02
   0.6235773     -0.8879197E-02
   0.6349557     -0.8451275E-02
   0.6463293     -0.8031901E-02
   0.6576985     -0.7621461E-02
   0.6690638     -0.7220305E-02
   0.6804257     -0.6828743E-02
   0.6917846     -0.6447052E-02
   0.7031409     -0.6075470E-02
   0.7144951     -0.5714204E-02
   0.7258475     -0.5363426E-02
   0.7371985     -0.5023276E-02
   0.7485486     -0.4693862E-02
   0.7598980     -0.4375261E-02
   0.7712471     -0.4067520E-02
   0.7825961     -0.3770657E-02
   0.7939454     -0.3484661E-02
   0.8052951     -0.3209492E-02
   0.8166453     -0.2945085E-02
   0.8279957     -0.2691351E-02
   0.8393459     -0.2448177E-02
   0.8506949     -0.2215432E-02
   0.8620405     -0.1992974E-02
   0.8733791     -0.1780651E-02
   0.8847046     -0.1578323E-02
   0.8960060     -0.1385877E-02
   0.9072656     -0.1203253E-02
   0.9184539     -0.1030492E-02
   0.9295238     -0.8677845E-03
   0.9404027     -0.7155296E-03
   0.9509857     -0.5743671E-03
   0.9611341     -0.4451327E-03
   0.9706883     -0.3286738E-03
   0.9794980     -0.2255317E-03
   0.9874598     -0.1356309E-03
   0.9945412     -0.5817614E-04
    1.000000       0.000000    
