face,surface,x,y,z,wss_x,wss_y,wss_z,tangent_x,tangent_y,tau_t_attached
0,lower,0.19887,-0.0573073,0.0,-0.24795798,0.014431943,3.4476097e-17,0.998299870760104,-0.05828694571136372,0.24837761326608693
1,lower,0.19661,-0.05717315,0.0,-0.24877637,0.01483887,3.476561e-17,0.998191881987288,-0.060107958996092184,0.24921848715377423
2,lower,0.19435049999999998,-0.05703515,0.0,-0.24947818,0.015534409,-1.7524239e-17,0.9980864694461176,-0.06183364382425112,0.24996134499316924
3,lower,0.19209199999999998,-0.05689325,0.0,-0.25015756,0.015902896,3.5343896e-17,0.9979766222541371,-0.06358192694644804,0.2506625335318456
4,lower,0.189834,-0.056747399999999996,0.0,-0.25091387,0.01642243,-9.0361118e-24,0.9978624698900068,-0.06534899528696057,0.2514507233485305
5,lower,0.1875775,-0.0565976,0.0,-0.25155401,0.016870586,3.599629e-17,0.9977436161421473,-0.06713923180668198,0.25211908577662645
6,lower,0.18532300000000002,-0.056443850000000004,0.0,-0.25219291,0.017661236,1.8135666e-17,0.9976206273901266,-0.06894261240865754,0.25281046084574754
7,lower,0.18307,-0.0562861,0.0,-0.25292881,0.017877896,2.2250184e-21,0.9974918674469443,-0.07078117247691963,0.25355984945833376
8,lower,0.180819,-0.05612425,0.0,-0.25357421,0.018687001,1.8478381e-17,0.9973575739157579,-0.07264894873894501,0.2542617498709386
9,lower,0.1785705,-0.055958350000000004,0.0,-0.25419059,0.018962363,5.5148128e-23,0.997218925713215,-0.07452794240673447,0.2548968929837679
10,lower,0.1763245,-0.05578835,0.0,-0.25491239,0.019416147,0.0,0.9970741164401249,-0.07644086816058608,0.25565073316190406
11,lower,0.1740815,-0.0556142,0.0,-0.25553971,0.020298537,-1.9029332e-17,0.9969223952585987,-0.0783947564053767,0.2563445586403882
12,lower,0.1718425,-0.055435899999999996,0.0,-0.25614933,0.020660637,2.0094207e-23,0.9967647898253805,-0.08037383756151664,0.2569812077635175
13,lower,0.169607,-0.055253399999999994,0.0,-0.25669163,0.02156219,-1.9384661e-17,0.9966026001612309,-0.08236053273184678,0.25759541935288993
14,lower,0.167375,-0.055066699999999996,0.0,-0.25725044,0.021703041,1.9584067e-17,0.9964343886177613,-0.08437125802041891,0.25816429777508887
15,lower,0.1651475,-0.0548758,0.0,-0.25781637,0.02259114,1.9814721e-17,0.9962589192846191,-0.08641854977863755,0.25880415170672966
16,lower,0.1629245,-0.05468065,0.0,-0.25831692,0.0228839,2.0033285e-17,0.9960774734038006,-0.08848540544915386,0.2593285561808096
17,lower,0.1607055,-0.0544812,0.0,-0.25887844,0.023891478,-2.4596448e-21,0.9958882325687555,-0.09059044227224233,0.25997833162031414
18,lower,0.158492,-0.054277450000000005,0.0,-0.25930475,0.024484996,-2.0443028e-17,0.9956908738562507,-0.09273447966843863,0.2604579764863204
19,lower,0.156284,-0.054069400000000004,0.0,-0.25979566,0.024702968,0.0,0.9954879128535966,-0.09488843639975225,0.2609674653497757
20,lower,0.15408100000000002,-0.053856999999999995,0.0,-0.26026396,0.025517614,-6.2421432e-23,0.9952761535226902,-0.09708438715405514,0.26151187492620703
21,lower,0.1518845,-0.05364025,0.0,-0.26057559,0.026183652,0.0,0.9950562606529046,-0.09931282966192567,0.2618877447738276
22,lower,0.149694,-0.05341915,0.0,-0.26094846,0.027046294,-5.2436414e-21,0.9948302051096927,-0.10155226733759729,0.2623460224636377
23,lower,0.14750950000000002,-0.05319365,0.0,-0.26139512,0.02733631,-8.654377e-17,0.9945931206901506,-0.10384856414908933,0.26282062467661077
24,lower,0.14533200000000002,-0.0529637,0.0,-0.26160151,0.028158202,4.7251011e-23,0.9943468125659055,-0.10618105452491922,0.26311249521281355
25,lower,0.1431615,-0.05272935,0.0,-0.2618655,0.028799237,-5.3910207e-21,0.9940934051491188,-0.10852788507581637,0.26344428686948373
26,lower,0.1409985,-0.0524906,0.0,-0.26207093,0.029799484,-4.4855747e-17,0.9938301543289045,-0.11091268794229872,0.2637591336767531
27,lower,0.138843,-0.0522474,0.0,-0.26223934,0.030237116,-4.5354464e-17,0.9935568349185826,-0.11333497159556852,0.26397661132452993
28,lower,0.136695,-0.0519997,0.0,-0.26232954,0.030860009,-9.1886039e-17,0.9932742436154872,-0.1157854782348871,0.2641383163218966
29,lower,0.13455499999999998,-0.05174755,0.0,-0.26244895,0.031586456,4.6540729e-17,0.9929817755805145,-0.1182674653696815,0.26434267446137266
30,lower,0.1324235,-0.051490949999999994,0.0,-0.26249139,0.032141703,-3.4651893e-22,0.9926761438221815,-0.1208059331586151,0.2644518492359464
31,lower,0.130301,-0.05122985,0.0,-0.26239682,0.033180705,-5.8568684e-21,0.9923601818421786,-0.12337450909389026,0.2644858092007736
32,lower,0.128187,-0.05096425,0.0,-0.26235238,0.033529367,5.8805313e-21,0.992033612614483,-0.1259734553112595,0.26448618952479697
33,lower,0.126082,-0.050694100000000006,0.0,-0.26215978,0.034843464,4.8966295e-17,0.9916933062938516,-0.1286249830008511,0.2644638389701595
34,lower,0.12398700000000001,-0.050419500000000006,0.0,-0.26193462,0.034740603,-4.9628067e-17,0.9913424689285885,-0.13130159670990627,0.26422840953323656
35,lower,0.1219015,-0.0501404,0.0,-0.26155683,0.036092877,0.0,0.9909802550109111,-0.13400796311603733,0.26403438702301324
36,lower,0.1198255,-0.049856750000000005,0.0,-0.26130435,0.036407078,0.0,0.9906030348302634,-0.1367685175216571,0.2638282242097047
37,lower,0.11776,-0.049568600000000004,0.0,-0.2608637,0.037053878,-6.344333e-21,0.9902092935497706,-0.13959066934313427,0.26348203572155815
38,lower,0.1157055,-0.04927595,0.0,-0.26025815,0.038211896,5.2460925e-17,0.989801882715346,-0.1424508089592914,0.2630473223590813
39,lower,0.1136615,-0.048978749999999995,0.0,-0.25957627,0.038903962,0.0,0.9893829550820233,-0.14533192420512056,0.2624743247384321
