# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
2052            	8.93534538e-02	1.23831598e-02	3.95034222e-01	2.86870565e-01	1.08163657e-01
2053            	8.93537212e-02	1.23829707e-02	3.95038260e-01	2.86872851e-01	1.08165409e-01
2054            	8.93539619e-02	1.23827564e-02	3.95042464e-01	2.86875194e-01	1.08167270e-01
2055            	8.93541764e-02	1.23825197e-02	3.95046811e-01	2.86877582e-01	1.08169229e-01
2056            	8.93543503e-02	1.23822611e-02	3.95051140e-01	2.86879920e-01	1.08171220e-01
2057            	8.93544515e-02	1.23819829e-02	3.95055424e-01	2.86882164e-01	1.08173261e-01
2058            	8.93545922e-02	1.23816653e-02	3.95059802e-01	2.86884493e-01	1.08175309e-01
2059            	8.93546670e-02	1.23813503e-02	3.95063786e-01	2.86886560e-01	1.08177226e-01
2060            	8.93547550e-02	1.23810259e-02	3.95067486e-01	2.86888498e-01	1.08178988e-01
2061            	8.93548029e-02	1.23807265e-02	3.95070609e-01	2.86890108e-01	1.08180502e-01
2062            	8.93548274e-02	1.23804645e-02	3.95073228e-01	2.86891441e-01	1.08181787e-01
2063            	8.93548136e-02	1.23802175e-02	3.95075491e-01	2.86892559e-01	1.08182932e-01
2064            	8.93547861e-02	1.23799750e-02	3.95077682e-01	2.86893627e-01	1.08184055e-01
2065            	8.93547540e-02	1.23797297e-02	3.95079950e-01	2.86894729e-01	1.08185221e-01
2066            	8.93547254e-02	1.23794778e-02	3.95082400e-01	2.86895925e-01	1.08186474e-01
2067            	8.93547075e-02	1.23792191e-02	3.95085086e-01	2.86897251e-01	1.08187836e-01
2068            	8.93547060e-02	1.23789559e-02	3.95088019e-01	2.86898715e-01	1.08189303e-01
2069            	8.93547247e-02	1.23786924e-02	3.95091167e-01	2.86900308e-01	1.08190859e-01
2070            	8.93547857e-02	1.23784272e-02	3.95094641e-01	2.86902106e-01	1.08192535e-01
2071            	8.93548590e-02	1.23781731e-02	3.95098170e-01	2.86903944e-01	1.08194226e-01
2072            	8.93549480e-02	1.23779233e-02	3.95101780e-01	2.86905838e-01	1.08195942e-01
2073            	8.93550436e-02	1.23777030e-02	3.95105138e-01	2.86907612e-01	1.08197525e-01
2074            	8.93551513e-02	1.23774930e-02	3.95108388e-01	2.86909345e-01	1.08199043e-01
2075            	8.93552573e-02	1.23772903e-02	3.95111413e-01	2.86910964e-01	1.08200449e-01
2076            	8.93553594e-02	1.23770876e-02	3.95114328e-01	2.86912523e-01	1.08201805e-01
2077            	8.93554531e-02	1.23768886e-02	3.95117085e-01	2.86913996e-01	1.08203090e-01
2078            	8.93555369e-02	1.23766742e-02	3.95119877e-01	2.86915475e-01	1.08204402e-01
2079            	8.93556113e-02	1.23764429e-02	3.95122741e-01	2.86916982e-01	1.08205759e-01
2080            	8.93556807e-02	1.23761965e-02	3.95125699e-01	2.86918530e-01	1.08207169e-01
2081            	8.93557521e-02	1.23759395e-02	3.95128758e-01	2.86920131e-01	1.08208627e-01
2082            	8.93558333e-02	1.23756757e-02	3.95131933e-01	2.86921800e-01	1.08210133e-01
2083            	8.93559238e-02	1.23754121e-02	3.95135140e-01	2.86923494e-01	1.08211646e-01
2084            	8.93560264e-02	1.23751569e-02	3.95138359e-01	2.86925206e-01	1.08213153e-01
2085            	8.93561328e-02	1.23749180e-02	3.95141470e-01	2.86926868e-01	1.08214602e-01
2086            	8.93562434e-02	1.23746903e-02	3.95144517e-01	2.86928502e-01	1.08216015e-01
