# Force coefficients
# liftDir       : (-1.39173101e-01 9.90268069e-01 0.00000000e+00)
# dragDir       : (9.90268069e-01 1.39173101e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	1.19421132e-02	5.12460373e-01	2.23431044e-02	2.31136654e-02	-7.70561024e-04
1               	3.66820146e+00	3.34294478e+00	1.01250360e+01	8.73071948e+00	1.39431655e+00
2               	4.84241646e+00	3.97807095e+00	1.36336710e+01	1.16592520e+01	1.97441904e+00
3               	4.24025559e+00	3.32155772e+00	1.22295524e+01	1.03550318e+01	1.87452061e+00
4               	2.56236853e+00	1.94569797e+00	7.78127527e+00	6.45300616e+00	1.32826910e+00
5               	6.42798039e-01	4.85802641e-01	2.54392229e+00	1.91475919e+00	6.29163106e-01
6               	-8.48872943e-01	-6.08568055e-01	-1.65090783e+00	-1.67432686e+00	2.34190308e-02
7               	-1.63659886e+00	-1.15518559e+00	-3.96867229e+00	-3.62093501e+00	-3.47737280e-01
8               	-1.68243457e+00	-1.16829683e+00	-4.27234962e+00	-3.81860938e+00	-4.53740243e-01
9               	-1.25672149e+00	-8.45386905e-01	-3.27569596e+00	-2.89456947e+00	-3.81126488e-01
10              	-5.86689281e-01	-3.63425834e-01	-1.54693347e+00	-1.36015602e+00	-1.86777454e-01
11              	4.44212561e-02	7.94176557e-02	1.62740857e-01	1.25791685e-01	3.69491723e-02
12              	4.65052494e-01	3.69840116e-01	1.37054611e+00	1.15032555e+00	2.20220563e-01
13              	6.30561161e-01	4.79128319e-01	1.91617781e+00	1.58865007e+00	3.27527745e-01
14              	5.92774859e-01	4.51914589e-01	1.91587561e+00	1.55071266e+00	3.65162944e-01
15              	4.30335964e-01	3.44543162e-01	1.57005740e+00	1.21536467e+00	3.54692738e-01
16              	2.11314401e-01	2.00909424e-01	1.03548747e+00	7.29058137e-01	3.06429335e-01
17              	1.68909864e-02	7.20141905e-02	5.21756750e-01	2.77769362e-01	2.43987389e-01
18              	-1.03863441e-01	-1.12094440e-02	1.69476506e-01	-1.91251880e-02	1.88601694e-01
19              	-1.40881840e-01	-4.22800859e-02	2.22853702e-02	-1.29739155e-01	1.52024525e-01
20              	-1.16607493e-01	-3.44104489e-02	3.57633281e-02	-9.87258293e-02	1.34489157e-01
21              	-5.64187178e-02	-3.07844273e-03	1.52406402e-01	1.97844830e-02	1.32621919e-01
22              	2.13443909e-02	4.03822095e-02	3.33446881e-01	1.88067831e-01	1.45379050e-01
23              	8.64143364e-02	7.75738731e-02	5.02654662e-01	3.37741667e-01	1.64912995e-01
24              	1.23496033e-01	9.98656643e-02	6.15300562e-01	4.31146314e-01	1.84154247e-01
25              	1.35247025e-01	1.08299113e-01	6.71940164e-01	4.71217107e-01	2.00723058e-01
26              	1.29414281e-01	1.06869887e-01	6.86120772e-01	4.72474667e-01	2.13646105e-01
27              	1.13125786e-01	9.93600120e-02	6.72349894e-01	4.49300733e-01	2.23049161e-01
28              	9.17475891e-02	8.84772301e-02	6.39584831e-01	4.11540005e-01	2.28044827e-01
29              	7.18181166e-02	7.75124107e-02	6.01260210e-01	3.72448222e-01	2.28811989e-01
30              	5.81631243e-02	6.91068822e-02	5.69745855e-01	3.43036052e-01	2.26709803e-01
31              	5.17479354e-02	6.40575263e-02	5.50016479e-01	3.26756175e-01	2.23260304e-01
32              	5.15529912e-02	6.20716940e-02	5.42385241e-01	3.22745612e-01	2.19639629e-01
33              	5.56223700e-02	6.23531656e-02	5.44738404e-01	3.27991572e-01	2.16746832e-01
34              	6.20476729e-02	6.40805509e-02	5.54274398e-01	3.39184872e-01	2.15089526e-01
35              	6.94932785e-02	6.66791813e-02	5.69311002e-01	3.54148779e-01	2.15162222e-01
36              	7.60895662e-02	6.92687337e-02	5.86241974e-01	3.69210553e-01	2.17031421e-01
37              	8.12155634e-02	7.14742829e-02	6.03317084e-01	3.82874105e-01	2.20442979e-01
38              	8.47884897e-02	7.31338038e-02	6.19974845e-01	3.94775912e-01	2.25198933e-01
39              	8.54758316e-02	7.35647195e-02	6.29669829e-01	4.00310746e-01	2.29359083e-01
40              	8.47430690e-02	7.33118087e-02	6.35800089e-01	4.02643113e-01	2.33156975e-01
41              	8.31701010e-02	7.25914324e-02	6.39142586e-01	4.02741394e-01	2.36401192e-01
42              	8.11574477e-02	7.15743835e-02	6.40401509e-01	4.01358202e-01	2.39043307e-01
43              	7.91703992e-02	7.04818354e-02	6.40186523e-01	3.99263661e-01	2.40922862e-01
44              	7.77179540e-02	6.95743489e-02	6.39470796e-01	3.97453352e-01	2.42017444e-01
45              	7.67494531e-02	6.88688255e-02	6.38805924e-01	3.96152415e-01	2.42653509e-01
46              	7.65396182e-02	6.85075278e-02	6.38955728e-01	3.96017482e-01	2.42938246e-01
47              	7.69203941e-02	6.84486846e-02	6.40202230e-01	3.97021509e-01	2.43180721e-01
48              	7.79014086e-02	6.87144039e-02	6.43030102e-01	3.99416460e-01	2.43613642e-01
49              	7.93015155e-02	6.92224203e-02	6.47339093e-01	4.02971062e-01	2.44368031e-01
50              	8.08234504e-02	6.98231118e-02	6.52580033e-01	4.07113467e-01	2.45466566e-01
51              	8.23117514e-02	7.04316673e-02	6.58417181e-01	4.11520342e-01	2.46896839e-01
52              	8.36060278e-02	7.09582513e-02	6.64352927e-01	4.15782491e-01	2.48570436e-01
53              	8.45930025e-02	7.13338095e-02	6.69892948e-01	4.19539477e-01	2.50353472e-01
54              	8.52235517e-02	7.15231359e-02	6.74657123e-01	4.22552113e-01	2.52105010e-01
55              	8.54659063e-02	7.15062728e-02	6.78047376e-01	4.24489594e-01	2.53557782e-01
56              	8.54868339e-02	7.13637722e-02	6.80719251e-01	4.25846460e-01	2.54872792e-01
57              	8.53502389e-02	7.11302261e-02	6.82763677e-01	4.26732077e-01	2.56031600e-01
58              	8.51198018e-02	7.08408564e-02	6.84302310e-01	4.27270957e-01	2.57031353e-01
59              	8.48531438e-02	7.05286820e-02	6.85469376e-01	4.27587832e-01	2.57881544e-01
