NACA0012 SHARP TE V9
1.0000000000  0.0000000000
0.9999571638  0.0000062261
0.9998286625  0.0000249011
0.9996145181  0.0000560158
0.9993147674  0.0000995542
0.9989294616  0.0001554946
0.9984586669  0.0002238086
0.9979024638  0.0003044620
0.9972609477  0.0003974140
0.9965342285  0.0005026182
0.9957224307  0.0006200218
0.9948256934  0.0007495660
0.9938441703  0.0008911863
0.9927780295  0.0010448123
0.9916274538  0.0012103678
0.9903926402  0.0013877709
0.9890738004  0.0015769341
0.9876711603  0.0017777646
0.9861849602  0.0019901642
0.9846154549  0.0022140292
0.9829629131  0.0024492512
0.9812276182  0.0026957163
0.9794098674  0.0029533062
0.9775099722  0.0032218975
0.9755282581  0.0035013623
0.9734650647  0.0037915682
0.9713207455  0.0040923784
0.9690956680  0.0044036522
0.9667902132  0.0047252443
0.9644047764  0.0050570060
0.9619397663  0.0053987845
0.9593956051  0.0057504236
0.9567727288  0.0061117634
0.9540715869  0.0064826409
0.9512926422  0.0068628897
0.9484363708  0.0072523407
0.9455032621  0.0076508216
0.9424938187  0.0080581576
0.9394085563  0.0084741711
0.9362480035  0.0088986821
0.9330127019  0.0093315085
0.9297032058  0.0097724658
0.9263200822  0.0102213676
0.9228639109  0.0106780254
0.9193352840  0.0111422492
0.9157348062  0.0116138472
0.9120630943  0.0120926260
0.9083207776  0.0125783908
0.9045084972  0.0130709457
0.9006269063  0.0135700932
0.8966766701  0.0140756351
0.8926584654  0.0145873719
0.8885729807  0.0151051033
0.8844209160  0.0156286282
0.8802029828  0.0161577445
0.8759199037  0.0166922497
0.8715724127  0.0172319406
0.8671612547  0.0177766132
0.8626871855  0.0183260634
0.8581509717  0.0188800862
0.8535533906  0.0194384764
0.8488952299  0.0200010286
0.8441772878  0.0205675365
0.8394003728  0.0211377941
0.8345653032  0.0217115946
0.8296729076  0.0222887312
0.8247240242  0.0228689965
0.8197195010  0.0234521831
0.8146601955  0.0240380832
0.8095469747  0.0246264886
0.8043807145  0.0252171907
0.7991623003  0.0258099809
0.7938926261  0.0264046500
0.7885725950  0.0270009882
0.7832031185  0.0275987858
0.7777851165  0.0281978320
0.7723195175  0.0287979161
0.7668072580  0.0293988264
0.7612492824  0.0300003508
0.7556465430  0.0306022766
0.7500000000  0.0312043904
0.7443106207  0.0318064780
0.7385793801  0.0324083245
0.7328072602  0.0330097140
0.7269952499  0.0336104300
0.7211443451  0.0342102547
0.7152555484  0.0348089697
0.7093298688  0.0354063552
0.7033683215  0.0360021906
0.6973719282  0.0365962539
0.6913417162  0.0371883221
0.6852787188  0.0377781709
0.6791839748  0.0383655749
0.6730585285  0.0389503070
0.6669034296  0.0395321392
0.6607197327  0.0401108418
0.6545084972  0.0406861839
0.6482707875  0.0412579331
0.6420076724  0.0418258555
0.6357202249  0.0423897161
0.6294095226  0.0429492780
0.6230766465  0.0435043031
0.6167226819  0.0440545518
0.6103487175  0.0445997832
0.6039558454  0.0451397549
0.5975451610  0.0456742230
0.5911177627  0.0462029425
