# Force coefficients
# liftDir       : (-2.50380004e-01 9.68147640e-01 0.00000000e+00)
# dragDir       : (9.68147640e-01 2.50380004e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
9600            	5.42906081e-02	4.92381654e-02	1.59431276e+00	8.51446987e-01	7.42865771e-01
9601            	5.41605818e-02	4.90873669e-02	1.59387424e+00	8.51097700e-01	7.42776537e-01
9602            	5.41852076e-02	4.91080125e-02	1.59394131e+00	8.51155865e-01	7.42785449e-01
9603            	5.42124031e-02	4.91299089e-02	1.59400980e+00	8.51217304e-01	7.42792498e-01
9604            	5.42389135e-02	4.91543619e-02	1.59407686e+00	8.51277342e-01	7.42799515e-01
9605            	5.42610700e-02	4.91795350e-02	1.59413675e+00	8.51329446e-01	7.42807306e-01
9606            	5.42763521e-02	4.92006891e-02	1.59418119e+00	8.51366947e-01	7.42814243e-01
9607            	5.42866883e-02	4.92198028e-02	1.59421701e+00	8.51395193e-01	7.42821816e-01
9608            	5.42925660e-02	4.92370231e-02	1.59424782e+00	8.51416476e-01	7.42831345e-01
9609            	5.42940302e-02	4.92513014e-02	1.59427465e+00	8.51431356e-01	7.42843296e-01
9610            	5.42920810e-02	4.92617521e-02	1.59429895e+00	8.51441555e-01	7.42857393e-01
9611            	5.42879432e-02	4.92677534e-02	1.59432091e+00	8.51448397e-01	7.42872511e-01
9612            	5.42829373e-02	4.92691890e-02	1.59433935e+00	8.51452610e-01	7.42886736e-01
9613            	5.42780454e-02	4.92667185e-02	1.59435242e+00	8.51454257e-01	7.42898166e-01
9614            	5.42735952e-02	4.92612410e-02	1.59435857e+00	8.51452878e-01	7.42905688e-01
9615            	5.42685704e-02	4.92528001e-02	1.59435445e+00	8.51445793e-01	7.42908653e-01
9616            	5.42634742e-02	4.92423780e-02	1.59434146e+00	8.51434206e-01	7.42907257e-01
9617            	5.42579101e-02	4.92322212e-02	1.59431973e+00	8.51417773e-01	7.42901952e-01
9618            	5.42521871e-02	4.92229105e-02	1.59429287e+00	8.51398622e-01	7.42894248e-01
9619            	5.42463037e-02	4.92157029e-02	1.59426533e+00	8.51378970e-01	7.42886363e-01
9620            	5.42400030e-02	4.92097195e-02	1.59423685e+00	8.51358427e-01	7.42878421e-01
9621            	5.42324079e-02	4.92044083e-02	1.59420603e+00	8.51335421e-01	7.42870605e-01
9622            	5.42235667e-02	4.92001022e-02	1.59417648e+00	8.51311808e-01	7.42864675e-01
9623            	5.42139711e-02	4.91968193e-02	1.59415034e+00	8.51289139e-01	7.42861197e-01
9624            	5.42042038e-02	4.91943915e-02	1.59412883e+00	8.51268620e-01	7.42860212e-01
9625            	5.41946601e-02	4.91925431e-02	1.59411194e+00	8.51250629e-01	7.42861309e-01
9626            	5.41855699e-02	4.91909260e-02	1.59409864e+00	8.51234892e-01	7.42863752e-01
9627            	5.41772051e-02	4.91892573e-02	1.59408748e+00	8.51220943e-01	7.42866533e-01
9628            	5.41694830e-02	4.91870663e-02	1.59407701e+00	8.51207989e-01	7.42869023e-01
9629            	5.41623744e-02	4.91842542e-02	1.59406656e+00	8.51195655e-01	7.42870906e-01
9630            	5.41555866e-02	4.91805772e-02	1.59405527e+00	8.51183220e-01	7.42872047e-01
9631            	5.41488321e-02	4.91758512e-02	1.59404245e+00	8.51170059e-01	7.42872394e-01
9632            	5.41418210e-02	4.91699376e-02	1.59402755e+00	8.51155598e-01	7.42871956e-01
9633            	5.41344469e-02	4.91629191e-02	1.59401048e+00	8.51139685e-01	7.42870791e-01
9634            	5.41261893e-02	4.91543090e-02	1.59399040e+00	8.51121392e-01	7.42869013e-01
9635            	5.41173092e-02	4.91448724e-02	1.59396821e+00	8.51101414e-01	7.42866796e-01
