Airfoil,Common_AoAs,CL_max_abs_delta,CL_mean_abs_delta,CD_max_abs_delta,CD_mean_abs_delta,Cm_max_abs_delta,Cm_mean_abs_delta,CD_max_abs_percent_delta,CD_mean_abs_percent_delta
NACA0012,11,0.006000000000000005,0.00224545454545453,0.0002899999999999986,8.454545454545441e-05,0.0007999999999999952,0.00037272727272727175,0.8467153284671491,0.3292566318521739
NACA4412,12,0.010199999999999987,0.005608333333333326,0.00028000000000000247,9.83333333333338e-05,0.001899999999999999,0.0011083333333333327,0.7869589657110807,0.3432851546306599
