AoA_deg,final_iteration,CD_total,CD_pressure,CD_viscous,CD_pressure_pct_of_total,CD_viscous_pct_of_total,closure_error
0.0,1770,0.0105487884,0.0019610704888888887,0.008587717955555555,18.590480864028788,81.40951955729395,4.444444291762384e-11
2.0,1242,0.0110956958,0.002545313316806291,0.008550382356506481,22.939645811182846,77.06035304704804,-1.2668722668141008e-10
4.0,1326,0.0125789199,0.004153184566780281,0.0084257346771082,33.01702053751277,66.98297424652652,-6.56111519281577e-10
6.0,1432,0.0149929678,0.006778201451929545,0.008214766609635084,45.209204357322406,54.79079738725967,2.615646293308016e-10
8.0,1576,0.0184056079,0.010493695227327349,0.007911910440562726,57.013575885898064,42.98641198676587,-2.2321099239774878e-09
10.0,1845,0.0229264556,0.015400905418184459,0.007525548437179948,67.17525677272356,32.82473561757164,-1.7446355922434709e-09
12.0,2350,0.0286933768,0.02163575810721046,0.0070576125249412975,75.40331783887653,24.5966606654024,-6.167848242560892e-09
14.0,3234,0.0362897327,0.029788959676966462,0.006500782392375217,82.08646760566099,17.913558212500188,9.36934167750092e-09
14.5,4102,0.0372335706,0.030857978610559982,0.006375595195231999,82.87676447168347,17.123244138266983,3.205791979099537e-09
15.0,5015,0.0394241644,0.03320525718664897,0.006218919772917244,84.2256461031016,15.77438575443147,1.2559566206493677e-08
15.5,5954,0.0420998867,0.036051130459111076,0.006048732072572266,85.63236931255466,14.367573280362928,-2.416831665352781e-08
16.0,6913,0.0452356225,0.03936983590133335,0.005865800095748267,87.03281556771623,12.967214269568782,1.3497081612079409e-08
