# Force coefficients
# liftDir       : (-2.41921896e-01 9.70295726e-01 0.00000000e+00)
# dragDir       : (9.70295726e-01 2.41921896e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
52              	7.53428207e-02	1.32845596e-01	1.05759045e+00	6.04138048e-01	4.53452406e-01
53              	7.46944211e-02	1.31386168e-01	1.05940647e+00	6.04397658e-01	4.55008816e-01
54              	7.47707468e-02	1.30619109e-01	1.06313113e+00	6.06336310e-01	4.56794816e-01
55              	7.53963641e-02	1.30423182e-01	1.06836769e+00	6.09580211e-01	4.58787483e-01
56              	7.63831870e-02	1.30645544e-01	1.07469820e+00	6.13732285e-01	4.60965911e-01
57              	7.76879428e-02	1.31224952e-01	1.08222267e+00	6.18799280e-01	4.63423395e-01
58              	7.90253314e-02	1.31943147e-01	1.08998885e+00	6.24019754e-01	4.65969091e-01
59              	8.04005434e-02	1.32768980e-01	1.09799172e+00	6.29396404e-01	4.68595317e-01
60              	8.16231464e-02	1.33521004e-01	1.10556218e+00	6.34404235e-01	4.71157942e-01
61              	8.26674077e-02	1.34164866e-01	1.11268051e+00	6.39007661e-01	4.73672845e-01
62              	8.30796263e-02	1.34299092e-01	1.11741931e+00	6.41789283e-01	4.75630030e-01
63              	8.31527120e-02	1.34142540e-01	1.12104443e+00	6.43674928e-01	4.77369505e-01
64              	8.29779036e-02	1.33757728e-01	1.12402365e+00	6.44989728e-01	4.79033921e-01
65              	8.26204226e-02	1.33204714e-01	1.12673214e+00	6.45986492e-01	4.80745647e-01
66              	8.21287856e-02	1.32535105e-01	1.12942524e+00	6.46841405e-01	4.82583834e-01
67              	8.15373610e-02	1.31788202e-01	1.13223666e+00	6.47655691e-01	4.84580969e-01
68              	8.08887756e-02	1.31005385e-01	1.13524303e+00	6.48510292e-01	4.86732741e-01
69              	8.02278454e-02	1.30223636e-01	1.13845360e+00	6.49454646e-01	4.88998955e-01
70              	7.95996823e-02	1.29474634e-01	1.14183385e+00	6.50516606e-01	4.91317242e-01
71              	7.90361259e-02	1.28775944e-01	1.14531233e+00	6.51692293e-01	4.93620041e-01
72              	7.85622616e-02	1.28139010e-01	1.14883661e+00	6.52980568e-01	4.95856045e-01
73              	7.81905562e-02	1.27567957e-01	1.15237300e+00	6.54377057e-01	4.97995945e-01
74              	7.79222224e-02	1.27061505e-01	1.15591789e+00	6.55881166e-01	5.00036721e-01
75              	7.77533667e-02	1.26618801e-01	1.15948495e+00	6.57495841e-01	5.01989108e-01
76              	7.76761153e-02	1.26239768e-01	1.16309294e+00	6.59222584e-01	5.03870354e-01
77              	7.76742558e-02	1.25921397e-01	1.16673788e+00	6.61043197e-01	5.05694685e-01
78              	7.77278306e-02	1.25658286e-01	1.17039894e+00	6.62927303e-01	5.07471642e-01
79              	7.78118205e-02	1.25436649e-01	1.17403036e+00	6.64827003e-01	5.09203362e-01
80              	7.79019970e-02	1.25237025e-01	1.17759246e+00	6.66698226e-01	5.10894232e-01
81              	7.79726236e-02	1.25037256e-01	1.18104912e+00	6.68497185e-01	5.12551938e-01
82              	7.80079156e-02	1.24822475e-01	1.18440516e+00	6.70210496e-01	5.14194665e-01
83              	7.79961630e-02	1.24579086e-01	1.18767493e+00	6.71833627e-01	5.15841301e-01
84              	7.79298494e-02	1.24294735e-01	1.19087056e+00	6.73365128e-01	5.17505430e-01
85              	7.78041384e-02	1.23959975e-01	1.19400419e+00	6.74806236e-01	5.19197959e-01
