#      x          Cp  
     1.00000    0.07905
     0.99476    0.07872
     0.98801    0.07746
     0.98047    0.07610
     0.97219    0.07473
     0.96326    0.07359
     0.95381    0.07302
     0.94396    0.07349
     0.93384    0.07383
     0.92354    0.06813
     0.91311    0.05948
     0.90259    0.04820
     0.89202    0.03442
     0.88141    0.01832
     0.87077    0.00012
     0.86012   -0.01993
     0.84944   -0.04157
     0.83875   -0.06450
     0.82804   -0.08847
     0.81733   -0.11321
     0.80660   -0.13850
     0.79586   -0.16412
     0.78512   -0.18991
     0.77436   -0.21573
     0.76360   -0.24148
     0.75283   -0.26709
     0.74206   -0.29249
     0.73128   -0.31767
     0.72049   -0.34261
     0.70969   -0.36731
     0.69890   -0.39177
     0.68809   -0.41601
     0.67728   -0.44006
     0.66647   -0.46393
     0.65566   -0.48765
     0.64484   -0.51125
     0.63402   -0.53476
     0.62320   -0.55820
     0.61238   -0.58161
     0.60155   -0.60501
     0.59073   -0.62844
     0.57990   -0.65192
     0.56908   -0.67550
     0.55826   -0.69919
     0.54744   -0.72304
     0.53662   -0.74707
     0.52581   -0.77134
     0.51500   -0.79587
     0.50419   -0.82072
     0.49339   -0.84594
     0.48260   -0.87159
     0.47182   -0.89774
     0.46105   -0.92448
     0.45029   -0.95192
     0.43955   -0.98019
     0.42883   -1.00956
     0.41815   -1.04020
     0.40752   -1.07325
     0.39696   -1.10918
     0.38649   -1.14300
     0.37607   -1.17446
     0.36568   -1.20513
     0.35532   -1.23496
     0.34499   -1.26426
     0.33468   -1.29311
     0.32439   -1.32163
     0.31413   -1.34990
     0.30389   -1.37798
     0.29368   -1.40592
     0.28349   -1.43379
     0.27334   -1.46163
     0.26322   -1.48949
     0.25313   -1.51744
     0.24308   -1.54552
     0.23308   -1.57380
     0.22312   -1.60235
     0.21321   -1.63123
     0.20336   -1.66053
     0.19356   -1.69033
     0.18384   -1.72074
     0.17419   -1.75185
     0.16462   -1.78378
     0.15515   -1.81666
     0.14579   -1.85062
     0.13655   -1.88575
     0.12745   -1.92218
     0.11852   -1.95993
     0.10978   -1.99898
     0.10128   -2.03908
     0.09304   -2.07971
     0.08512   -2.12006
     0.07755   -2.16012
     0.07039   -2.20709
     0.06367   -2.28780
     0.05743   -2.46343
     0.05166   -2.55838
     0.04638   -2.61845
     0.04157   -2.68198
     0.03719   -2.74765
     0.03323   -2.81552
     0.02964   -2.88585
     0.02639   -2.95883
     0.02344   -3.03453
     0.02077   -3.11284
     0.01833   -3.19350
     0.01612   -3.27608
     0.01410   -3.36004
     0.01226   -3.44466
     0.01059   -3.52903
     0.00906   -3.61196
     0.00767   -3.69190
     0.00640   -3.76684
     0.00526   -3.83430
     0.00423   -3.89091
     0.00332   -3.93257
     0.00251   -3.95442
     0.00180   -3.95069
     0.00120   -3.91491
     0.00070   -3.84075
     0.00030   -3.72252
     0.00001   -3.55607
    -0.00019   -3.34094
    -0.00029   -3.08152
    -0.00029   -2.78073
    -0.00020   -2.44060
    -0.00001   -2.07193
     0.00029   -1.69058
     0.00071   -1.30336
     0.00124   -0.92278
     0.00189   -0.56328
     0.00267   -0.23723
     0.00356    0.04731
     0.00458    0.28710
     0.00572    0.48297
     0.00697    0.63825
     0.00835    0.75801
     0.00985    0.84733
     0.01148    0.91170
     0.01324    0.95536
     0.01515    0.98262
     0.01721    0.99652
     0.01944    0.99993
     0.02185    0.99494
     0.02447    0.98339
     0.02732    0.96656
     0.03042    0.94569
     0.03381    0.92158
     0.03752    0.89505
     0.04160    0.86665
     0.04609    0.83694
     0.05104    0.80638
     0.05649    0.77543
     0.06248    0.74453
     0.06904    0.71413
     0.07618    0.68465
     0.08389    0.65645
     0.09214    0.62986
     0.10088    0.60511
     0.11005    0.58230
     0.11959    0.56147
     0.12944    0.54256
     0.13954    0.52547
     0.14986    0.51005
     0.16036    0.49614
     0.17100    0.48360
     0.18177    0.47226
     0.19265    0.46199
     0.20362    0.45266
     0.21467    0.44414
     0.22579    0.43634
     0.23698    0.42915
     0.24823    0.42249
     0.25953    0.41629
     0.27087    0.41046
     0.28224    0.40495
     0.29362    0.39969
     0.30501    0.39463
     0.31638    0.38972
     0.32773    0.38489
     0.33906    0.38009
     0.35036    0.37524
     0.36165    0.37028
     0.37293    0.36508
     0.38420    0.35953
     0.39548    0.35327
     0.40679    0.34566
     0.41813    0.33877
     0.42949    0.33279
     0.44087    0.32733
     0.45227    0.32231
     0.46368    0.31763
     0.47511    0.31322
     0.48654    0.30902
     0.49799    0.30500
     0.50944    0.30111
     0.52088    0.29735
     0.53232    0.29367
     0.54375    0.29007
     0.55518    0.28653
     0.56660    0.28302
     0.57801    0.27954
     0.58941    0.27608
     0.60080    0.27261
     0.61219    0.26913
     0.62358    0.26564
     0.63496    0.26211
     0.64633    0.25854
     0.65770    0.25492
     0.66906    0.25125
     0.68043    0.24751
     0.69178    0.24369
     0.70314    0.23978
     0.71450    0.23578
     0.72585    0.23166
     0.73720    0.22744
     0.74855    0.22308
     0.75990    0.21858
     0.77125    0.21392
     0.78260    0.20909
     0.79395    0.20407
     0.80530    0.19884
     0.81665    0.19337
     0.82800    0.18765
     0.83935    0.18162
     0.85069    0.17526
     0.86204    0.16851
     0.87338    0.16130
     0.88470    0.15358
     0.89601    0.14522
     0.90727    0.13612
     0.91845    0.12610
     0.92952    0.11495
     0.94040    0.10241
     0.95099    0.08811
     0.96113    0.07161
     0.97069    0.05245
     0.97950    0.02979
     0.98746    0.00728
     0.99454   -0.02296
     1.00000    0.07905
