#      x          Cp  
     1.00000   -0.14033
     0.99476   -0.14169
     0.98801   -0.14376
     0.98047   -0.14611
     0.97219   -0.14874
     0.96326   -0.15161
     0.95381   -0.15470
     0.94396   -0.15797
     0.93384   -0.16137
     0.92354   -0.16488
     0.91311   -0.16849
     0.90259   -0.17219
     0.89202   -0.17596
     0.88141   -0.17981
     0.87077   -0.18373
     0.86012   -0.18771
     0.84944   -0.19178
     0.83875   -0.19591
     0.82804   -0.20012
     0.81733   -0.20441
     0.80660   -0.20877
     0.79586   -0.21321
     0.78512   -0.21772
     0.77436   -0.22231
     0.76360   -0.22697
     0.75283   -0.23170
     0.74206   -0.23651
     0.73128   -0.24138
     0.72049   -0.24631
     0.70969   -0.25130
     0.69890   -0.25633
     0.68809   -0.26140
     0.67728   -0.26648
     0.66647   -0.27153
     0.65566   -0.27649
     0.64484   -0.28124
     0.63402   -0.28557
     0.62320   -0.28905
     0.61238   -0.29097
     0.60155   -0.29194
     0.59073   -0.30157
     0.57990   -0.31672
     0.56908   -0.33617
     0.55826   -0.35967
     0.54744   -0.38688
     0.53662   -0.41743
     0.52581   -0.45090
     0.51500   -0.48687
     0.50419   -0.52493
     0.49339   -0.56469
     0.48260   -0.60583
     0.47182   -0.64811
     0.46105   -0.69134
     0.45029   -0.73542
     0.43955   -0.78032
     0.42883   -0.82613
     0.41815   -0.87295
     0.40752   -0.92137
     0.39696   -0.97157
     0.38649   -1.02091
     0.37607   -1.06895
     0.36568   -1.11641
     0.35532   -1.16329
     0.34499   -1.20975
     0.33468   -1.25592
     0.32439   -1.30191
     0.31413   -1.34781
     0.30389   -1.39373
     0.29368   -1.43977
     0.28349   -1.48603
     0.27334   -1.53261
     0.26322   -1.57963
     0.25313   -1.62719
     0.24308   -1.67542
     0.23308   -1.72445
     0.22312   -1.77443
     0.21321   -1.82552
     0.20336   -1.87791
     0.19356   -1.93178
     0.18384   -1.98737
     0.17419   -2.04493
     0.16462   -2.10474
     0.15515   -2.16715
     0.14579   -2.23249
     0.13655   -2.30120
     0.12745   -2.37370
     0.11852   -2.45049
     0.10978   -2.53207
     0.10128   -2.61896
     0.09304   -2.71164
     0.08512   -2.81053
     0.07755   -2.91590
     0.07039   -3.02789
     0.06367   -3.14641
     0.05743   -3.27113
     0.05166   -3.40149
     0.04638   -3.53669
     0.04157   -3.67557
     0.03719   -3.81650
     0.03323   -3.95699
     0.02964   -4.09337
     0.02639   -4.22148
     0.02344   -4.34705
     0.02077   -4.54426
     0.01833   -5.10398
     0.01612   -5.93407
     0.01410   -6.00443
     0.01226   -6.06905
     0.01059   -6.13775
     0.00906   -6.21927
     0.00767   -6.32250
     0.00640   -6.45419
     0.00526   -6.61436
     0.00423   -6.80444
     0.00332   -7.00905
     0.00251   -7.20615
     0.00180   -7.37673
     0.00120   -7.50480
     0.00070   -7.57590
     0.00030   -7.57619
     0.00001   -7.49343
    -0.00019   -7.32002
    -0.00029   -7.05554
    -0.00029   -6.70084
    -0.00020   -6.25681
    -0.00001   -5.73663
     0.00029   -5.16370
     0.00071   -4.54314
     0.00124   -3.89301
     0.00189   -3.23929
     0.00267   -2.60844
     0.00356   -2.02210
     0.00458   -1.49416
     0.00572   -1.03114
     0.00697   -0.63360
     0.00835   -0.29796
     0.00985   -0.01833
     0.01148    0.21208
     0.01324    0.40009
     0.01515    0.55203
     0.01721    0.67357
     0.01944    0.76953
     0.02185    0.84416
     0.02447    0.90073
     0.02732    0.94234
     0.03042    0.97114
     0.03381    0.98931
     0.03752    0.99832
     0.04160    0.99966
     0.04609    0.99445
     0.05104    0.98377
     0.05649    0.96846
     0.06248    0.94953
     0.06904    0.92768
     0.07618    0.90388
     0.08389    0.87881
     0.09214    0.85324
     0.10088    0.82778
     0.11005    0.80291
     0.11959    0.77898
     0.12944    0.75622
     0.13954    0.73474
     0.14986    0.71457
     0.16036    0.69570
     0.17100    0.67806
     0.18177    0.66157
     0.19265    0.64616
     0.20362    0.63173
     0.21467    0.61819
     0.22579    0.60546
     0.23698    0.59344
     0.24823    0.58207
     0.25953    0.57128
     0.27087    0.56098
     0.28224    0.55113
     0.29362    0.54166
     0.30501    0.53253
     0.31638    0.52367
     0.32773    0.51503
     0.33906    0.50654
     0.35036    0.49814
     0.36165    0.48973
     0.37293    0.48122
     0.38420    0.47247
     0.39548    0.46315
     0.40679    0.45258
     0.41813    0.44270
     0.42949    0.43366
     0.44087    0.42513
     0.45227    0.41700
     0.46368    0.40918
     0.47511    0.40161
     0.48654    0.39424
     0.49799    0.38702
     0.50944    0.37993
     0.52088    0.37295
     0.53232    0.36605
     0.54375    0.35921
     0.55518    0.35242
     0.56660    0.34566
     0.57801    0.33890
     0.58941    0.33213
     0.60080    0.32535
     0.61219    0.31852
     0.62358    0.31164
     0.63496    0.30469
     0.64633    0.29766
     0.65770    0.29053
     0.66906    0.28328
     0.68043    0.27590
     0.69178    0.26837
     0.70314    0.26067
     0.71450    0.25278
     0.72585    0.24469
     0.73720    0.23636
     0.74855    0.22777
     0.75990    0.21890
     0.77125    0.20971
     0.78260    0.20018
     0.79395    0.19025
     0.80530    0.17988
     0.81665    0.16903
     0.82800    0.15762
     0.83935    0.14559
     0.85069    0.13285
     0.86204    0.11928
     0.87338    0.10475
     0.88470    0.08911
     0.89601    0.07215
     0.90727    0.05360
     0.91845    0.03313
     0.92952    0.01033
     0.94040   -0.01536
     0.95099   -0.04464
     0.96113   -0.07842
     0.97069   -0.11778
     0.97950   -0.16489
     0.98746   -0.21438
     0.99454   -0.28687
     1.00000   -0.14033
