#      x          Cp  
     1.00000    0.21211
     0.99476    0.20128
     0.98801    0.18851
     0.98047    0.17245
     0.97219    0.15307
     0.96326    0.13046
     0.95381    0.10513
     0.94396    0.07779
     0.93384    0.04923
     0.92354    0.02014
     0.91311   -0.00891
     0.90259   -0.03753
     0.89202   -0.06548
     0.88141   -0.09263
     0.87077   -0.11892
     0.86012   -0.14435
     0.84944   -0.16896
     0.83875   -0.19278
     0.82804   -0.21588
     0.81733   -0.23832
     0.80660   -0.26016
     0.79586   -0.28145
     0.78512   -0.30224
     0.77436   -0.32260
     0.76360   -0.34255
     0.75283   -0.36215
     0.74206   -0.38143
     0.73128   -0.40042
     0.72049   -0.41915
     0.70969   -0.43766
     0.69890   -0.45598
     0.68809   -0.47412
     0.67728   -0.49211
     0.66647   -0.50997
     0.65566   -0.52773
     0.64484   -0.54540
     0.63402   -0.56299
     0.62320   -0.58054
     0.61238   -0.59804
     0.60155   -0.61553
     0.59073   -0.63301
     0.57990   -0.65050
     0.56908   -0.66801
     0.55826   -0.68556
     0.54744   -0.70315
     0.53662   -0.72081
     0.52581   -0.73854
     0.51500   -0.75636
     0.50419   -0.77427
     0.49339   -0.79228
     0.48260   -0.81041
     0.47182   -0.82865
     0.46105   -0.84702
     0.45029   -0.86554
     0.43955   -0.88422
     0.42883   -0.90326
     0.41815   -0.92281
     0.40752   -0.94495
     0.39696   -0.97217
     0.38649   -1.00478
     0.37607   -1.05500
     0.36568   -1.11997
     0.35532   -1.14809
     0.34499   -1.15752
     0.33468   -1.16960
     0.32439   -1.18306
     0.31413   -1.19737
     0.30389   -1.21225
     0.29368   -1.22750
     0.28349   -1.24298
     0.27334   -1.25858
     0.26322   -1.27421
     0.25313   -1.28981
     0.24308   -1.30534
     0.23308   -1.32078
     0.22312   -1.33612
     0.21321   -1.35135
     0.20336   -1.36649
     0.19356   -1.38155
     0.18384   -1.39658
     0.17419   -1.41160
     0.16462   -1.42667
     0.15515   -1.44184
     0.14579   -1.45718
     0.13655   -1.47277
     0.12745   -1.48870
     0.11852   -1.50505
     0.10978   -1.52194
     0.10128   -1.53947
     0.09304   -1.55774
     0.08512   -1.57682
     0.07755   -1.59679
     0.07039   -1.61764
     0.06367   -1.63937
     0.05743   -1.66189
     0.05166   -1.68510
     0.04638   -1.70883
     0.04157   -1.73293
     0.03719   -1.75720
     0.03323   -1.78146
     0.02964   -1.80549
     0.02639   -1.82908
     0.02344   -1.85198
     0.02077   -1.87391
     0.01833   -1.89452
     0.01612   -1.91340
     0.01410   -1.93005
     0.01226   -1.94383
     0.01059   -1.95398
     0.00906   -1.95952
     0.00767   -1.95924
     0.00640   -1.95169
     0.00526   -1.93519
     0.00423   -1.90758
     0.00332   -1.86647
     0.00251   -1.80927
     0.00180   -1.73320
     0.00120   -1.63555
     0.00070   -1.51430
     0.00030   -1.36842
     0.00001   -1.19828
    -0.00019   -1.00683
    -0.00029   -0.79996
    -0.00029   -0.58119
    -0.00020   -0.35291
    -0.00001   -0.12310
     0.00029    0.09827
     0.00071    0.30549
     0.00124    0.49117
     0.00189    0.64939
     0.00267    0.77619
     0.00356    0.87166
     0.00458    0.93743
     0.00572    0.97778
     0.00697    0.99681
     0.00835    0.99919
     0.00985    0.98880
     0.01148    0.96912
     0.01324    0.94263
     0.01515    0.91171
     0.01721    0.87766
     0.01944    0.84193
     0.02185    0.80523
     0.02447    0.76829
     0.02732    0.73154
     0.03042    0.69535
     0.03381    0.65996
     0.03752    0.62556
     0.04160    0.59231
     0.04609    0.56036
     0.05104    0.52983
     0.05649    0.50088
     0.06248    0.47368
     0.06904    0.44838
     0.07618    0.42512
     0.08389    0.40402
     0.09214    0.38512
     0.10088    0.36840
     0.11005    0.35378
     0.11959    0.34113
     0.12944    0.33027
     0.13954    0.32100
     0.14986    0.31313
     0.16036    0.30648
     0.17100    0.30088
     0.18177    0.29617
     0.19265    0.29222
     0.20362    0.28890
     0.21467    0.28612
     0.22579    0.28378
     0.23698    0.28180
     0.24823    0.28011
     0.25953    0.27864
     0.27087    0.27733
     0.28224    0.27613
     0.29362    0.27498
     0.30501    0.27385
     0.31638    0.27268
     0.32773    0.27142
     0.33906    0.27002
     0.35036    0.26843
     0.36165    0.26657
     0.37293    0.26435
     0.38420    0.26164
     0.39548    0.25810
     0.40679    0.25315
     0.41813    0.24889
     0.42949    0.24550
     0.44087    0.24262
     0.45227    0.24017
     0.46368    0.23805
     0.47511    0.23618
     0.48654    0.23452
     0.49799    0.23302
     0.50944    0.23165
     0.52088    0.23039
     0.53232    0.22922
     0.54375    0.22810
     0.55518    0.22703
     0.56660    0.22600
     0.57801    0.22499
     0.58941    0.22400
     0.60080    0.22300
     0.61219    0.22201
     0.62358    0.22100
     0.63496    0.21998
     0.64633    0.21893
     0.65770    0.21786
     0.66906    0.21677
     0.68043    0.21563
     0.69178    0.21447
     0.70314    0.21326
     0.71450    0.21201
     0.72585    0.21072
     0.73720    0.20939
     0.74855    0.20801
     0.75990    0.20659
     0.77125    0.20512
     0.78260    0.20360
     0.79395    0.20204
     0.80530    0.20044
     0.81665    0.19879
     0.82800    0.19710
     0.83935    0.19538
     0.85069    0.19362
     0.86204    0.19184
     0.87338    0.19004
     0.88470    0.18824
     0.89601    0.18645
     0.90727    0.18469
     0.91845    0.18301
     0.92952    0.18146
     0.94040    0.18013
     0.95099    0.17916
     0.96113    0.17878
     0.97069    0.17940
     0.97950    0.18157
     0.98746    0.18692
     0.99454    0.19506
     1.00000    0.21211
