#      x          Cp  
     1.00000    0.00785
     0.99476    0.00692
     0.98801    0.00516
     0.98047    0.00314
     0.97219    0.00088
     0.96326   -0.00158
     0.95381   -0.00419
     0.94396   -0.00692
     0.93384   -0.00970
     0.92354   -0.01250
     0.91311   -0.01525
     0.90259   -0.01789
     0.89202   -0.02029
     0.88141   -0.02225
     0.87077   -0.02343
     0.86012   -0.02339
     0.84944   -0.02362
     0.83875   -0.03038
     0.82804   -0.04010
     0.81733   -0.05244
     0.80660   -0.06728
     0.79586   -0.08442
     0.78512   -0.10366
     0.77436   -0.12477
     0.76360   -0.14751
     0.75283   -0.17161
     0.74206   -0.19683
     0.73128   -0.22294
     0.72049   -0.24971
     0.70969   -0.27696
     0.69890   -0.30453
     0.68809   -0.33228
     0.67728   -0.36012
     0.66647   -0.38798
     0.65566   -0.41580
     0.64484   -0.44356
     0.63402   -0.47123
     0.62320   -0.49883
     0.61238   -0.52635
     0.60155   -0.55381
     0.59073   -0.58125
     0.57990   -0.60868
     0.56908   -0.63615
     0.55826   -0.66368
     0.54744   -0.69132
     0.53662   -0.71912
     0.52581   -0.74710
     0.51500   -0.77534
     0.50419   -0.80387
     0.49339   -0.83276
     0.48260   -0.86209
     0.47182   -0.89192
     0.46105   -0.92236
     0.45029   -0.95352
     0.43955   -0.98555
     0.42883   -1.01870
     0.41815   -1.05314
     0.40752   -1.08990
     0.39696   -1.12935
     0.38649   -1.16710
     0.37607   -1.20284
     0.36568   -1.23791
     0.35532   -1.27228
     0.34499   -1.30624
     0.33468   -1.33988
     0.32439   -1.37333
     0.31413   -1.40665
     0.30389   -1.43993
     0.29368   -1.47324
     0.28349   -1.50665
     0.27334   -1.54021
     0.26322   -1.57400
     0.25313   -1.60810
     0.24308   -1.64257
     0.23308   -1.67751
     0.22312   -1.71301
     0.21321   -1.74917
     0.20336   -1.78611
     0.19356   -1.82395
     0.18384   -1.86286
     0.17419   -1.90299
     0.16462   -1.94454
     0.15515   -1.98771
     0.14579   -2.03275
     0.13655   -2.07990
     0.12745   -2.12947
     0.11852   -2.18173
     0.10978   -2.23700
     0.10128   -2.29555
     0.09304   -2.35761
     0.08512   -2.42332
     0.07755   -2.49263
     0.07039   -2.56530
     0.06367   -2.64067
     0.05743   -2.71759
     0.05166   -2.79407
     0.04638   -2.86717
     0.04157   -2.93485
     0.03719   -3.00462
     0.03323   -3.16304
     0.02964   -3.68329
     0.02639   -3.76643
     0.02344   -3.83240
     0.02077   -3.89944
     0.01833   -3.97180
     0.01612   -4.05243
     0.01410   -4.14245
     0.01226   -4.24242
     0.01059   -4.35302
     0.00906   -4.47230
     0.00767   -4.59649
     0.00640   -4.72119
     0.00526   -4.84195
     0.00423   -4.95391
     0.00332   -5.05163
     0.00251   -5.12884
     0.00180   -5.17810
     0.00120   -5.19088
     0.00070   -5.15841
     0.00030   -5.07225
     0.00001   -4.92548
    -0.00019   -4.71528
    -0.00029   -4.44457
    -0.00029   -4.11568
    -0.00020   -3.73024
    -0.00001   -3.30016
     0.00029   -2.84416
     0.00071   -2.36879
     0.00124   -1.88883
     0.00189   -1.42294
     0.00267   -0.98842
     0.00356   -0.59793
     0.00458   -0.25820
     0.00572    0.02928
     0.00697    0.26681
     0.00835    0.45904
     0.00985    0.61174
     0.01148    0.73068
     0.01324    0.82149
     0.01515    0.88882
     0.01721    0.93712
     0.01944    0.96960
     0.02185    0.98938
     0.02447    0.99863
     0.02732    0.99938
     0.03042    0.99314
     0.03381    0.98124
     0.03752    0.96462
     0.04160    0.94431
     0.04609    0.92088
     0.05104    0.89516
     0.05649    0.86766
     0.06248    0.83905
     0.06904    0.80988
     0.07618    0.78073
     0.08389    0.75212
     0.09214    0.72451
     0.10088    0.69825
     0.11005    0.67359
     0.11959    0.65066
     0.12944    0.62949
     0.13954    0.61005
     0.14986    0.59224
     0.16036    0.57594
     0.17100    0.56103
     0.18177    0.54736
     0.19265    0.53482
     0.20362    0.52328
     0.21467    0.51262
     0.22579    0.50274
     0.23698    0.49354
     0.24823    0.48494
     0.25953    0.47686
     0.27087    0.46923
     0.28224    0.46198
     0.29362    0.45505
     0.30501    0.44838
     0.31638    0.44192
     0.32773    0.43561
     0.33906    0.42938
     0.35036    0.42316
     0.36165    0.41688
     0.37293    0.41042
     0.38420    0.40366
     0.39548    0.39625
     0.40679    0.38752
     0.41813    0.37952
     0.42949    0.37240
     0.44087    0.36581
     0.45227    0.35965
     0.46368    0.35382
     0.47511    0.34826
     0.48654    0.34291
     0.49799    0.33774
     0.50944    0.33270
     0.52088    0.32778
     0.53232    0.32295
     0.54375    0.31820
     0.55518    0.31349
     0.56660    0.30883
     0.57801    0.30419
     0.58941    0.29956
     0.60080    0.29492
     0.61219    0.29027
     0.62358    0.28559
     0.63496    0.28087
     0.64633    0.27609
     0.65770    0.27125
     0.66906    0.26634
     0.68043    0.26133
     0.69178    0.25623
     0.70314    0.25101
     0.71450    0.24566
     0.72585    0.24017
     0.73720    0.23453
     0.74855    0.22872
     0.75990    0.22271
     0.77125    0.21649
     0.78260    0.21004
     0.79395    0.20332
     0.80530    0.19631
     0.81665    0.18898
     0.82800    0.18128
     0.83935    0.17316
     0.85069    0.16457
     0.86204    0.15543
     0.87338    0.14565
     0.88470    0.13511
     0.89601    0.12368
     0.90727    0.11118
     0.91845    0.09737
     0.92952    0.08195
     0.94040    0.06453
     0.95099    0.04460
     0.96113    0.02150
     0.97069   -0.00549
     0.97950   -0.03780
     0.98746   -0.07108
     0.99454   -0.11855
     1.00000    0.00785
