#      x          Cp  
     1.00000    0.22354
     0.99476    0.20339
     0.98801    0.18354
     0.98047    0.16045
     0.97219    0.13460
     0.96326    0.10644
     0.95381    0.07684
     0.94396    0.04667
     0.93384    0.01670
     0.92354   -0.01258
     0.91311   -0.04086
     0.90259   -0.06800
     0.89202   -0.09399
     0.88141   -0.11887
     0.87077   -0.14270
     0.86012   -0.16558
     0.84944   -0.18760
     0.83875   -0.20882
     0.82804   -0.22935
     0.81733   -0.24923
     0.80660   -0.26855
     0.79586   -0.28734
     0.78512   -0.30567
     0.77436   -0.32358
     0.76360   -0.34111
     0.75283   -0.35829
     0.74206   -0.37515
     0.73128   -0.39172
     0.72049   -0.40803
     0.70969   -0.42411
     0.69890   -0.43995
     0.68809   -0.45560
     0.67728   -0.47106
     0.66647   -0.48633
     0.65566   -0.50144
     0.64484   -0.51639
     0.63402   -0.53118
     0.62320   -0.54581
     0.61238   -0.56028
     0.60155   -0.57457
     0.59073   -0.58866
     0.57990   -0.60252
     0.56908   -0.61610
     0.55826   -0.62933
     0.54744   -0.64210
     0.53662   -0.65427
     0.52581   -0.66564
     0.51500   -0.67604
     0.50419   -0.68561
     0.49339   -0.69611
     0.48260   -0.71518
     0.47182   -0.76299
     0.46105   -0.84967
     0.45029   -0.87700
     0.43955   -0.88689
     0.42883   -0.89753
     0.41815   -0.90875
     0.40752   -0.92078
     0.39696   -0.93399
     0.38649   -0.94822
     0.37607   -0.96303
     0.36568   -0.97823
     0.35532   -0.99347
     0.34499   -1.00855
     0.33468   -1.02331
     0.32439   -1.03766
     0.31413   -1.05155
     0.30389   -1.06493
     0.29368   -1.07780
     0.28349   -1.09015
     0.27334   -1.10198
     0.26322   -1.11330
     0.25313   -1.12410
     0.24308   -1.13440
     0.23308   -1.14419
     0.22312   -1.15349
     0.21321   -1.16229
     0.20336   -1.17060
     0.19356   -1.17843
     0.18384   -1.18579
     0.17419   -1.19268
     0.16462   -1.19913
     0.15515   -1.20513
     0.14579   -1.21071
     0.13655   -1.21588
     0.12745   -1.22067
     0.11852   -1.22509
     0.10978   -1.22919
     0.10128   -1.23298
     0.09304   -1.23649
     0.08512   -1.23975
     0.07755   -1.24277
     0.07039   -1.24556
     0.06367   -1.24811
     0.05743   -1.25038
     0.05166   -1.25232
     0.04638   -1.25385
     0.04157   -1.25486
     0.03719   -1.25522
     0.03323   -1.25479
     0.02964   -1.25337
     0.02639   -1.25076
     0.02344   -1.24671
     0.02077   -1.24093
     0.01833   -1.23307
     0.01612   -1.22273
     0.01410   -1.20941
     0.01226   -1.19255
     0.01059   -1.17148
     0.00906   -1.14538
     0.00767   -1.11329
     0.00640   -1.07414
     0.00526   -1.02674
     0.00423   -0.96967
     0.00332   -0.90146
     0.00251   -0.82073
     0.00180   -0.72619
     0.00120   -0.61692
     0.00070   -0.49281
     0.00030   -0.35474
     0.00001   -0.20479
    -0.00019   -0.04685
    -0.00029    0.11335
    -0.00029    0.27247
    -0.00020    0.42804
    -0.00001    0.57419
     0.00029    0.70393
     0.00071    0.81347
     0.00124    0.89842
     0.00189    0.95733
     0.00267    0.99020
     0.00356    0.99999
     0.00458    0.99052
     0.00572    0.96628
     0.00697    0.93145
     0.00835    0.88967
     0.00985    0.84381
     0.01148    0.79606
     0.01324    0.74796
     0.01515    0.70059
     0.01721    0.65463
     0.01944    0.61055
     0.02185    0.56857
     0.02447    0.52885
     0.02732    0.49140
     0.03042    0.45624
     0.03381    0.42334
     0.03752    0.39266
     0.04160    0.36415
     0.04609    0.33779
     0.05104    0.31357
     0.05649    0.29152
     0.06248    0.27164
     0.06904    0.25397
     0.07618    0.23851
     0.08389    0.22523
     0.09214    0.21406
     0.10088    0.20487
     0.11005    0.19750
     0.11959    0.19176
     0.12944    0.18743
     0.13954    0.18433
     0.14986    0.18225
     0.16036    0.18102
     0.17100    0.18050
     0.18177    0.18056
     0.19265    0.18107
     0.20362    0.18195
     0.21467    0.18311
     0.22579    0.18448
     0.23698    0.18599
     0.24823    0.18759
     0.25953    0.18923
     0.27087    0.19085
     0.28224    0.19243
     0.29362    0.19391
     0.30501    0.19525
     0.31638    0.19643
     0.32773    0.19739
     0.33906    0.19810
     0.35036    0.19850
     0.36165    0.19854
     0.37293    0.19811
     0.38420    0.19711
     0.39548    0.19522
     0.40679    0.19188
     0.41813    0.18916
     0.42949    0.18728
     0.44087    0.18588
     0.45227    0.18487
     0.46368    0.18417
     0.47511    0.18371
     0.48654    0.18344
     0.49799    0.18332
     0.50944    0.18331
     0.52088    0.18339
     0.53232    0.18353
     0.54375    0.18373
     0.55518    0.18395
     0.56660    0.18420
     0.57801    0.18446
     0.58941    0.18472
     0.60080    0.18498
     0.61219    0.18522
     0.62358    0.18545
     0.63496    0.18566
     0.64633    0.18585
     0.65770    0.18601
     0.66906    0.18614
     0.68043    0.18624
     0.69178    0.18632
     0.70314    0.18636
     0.71450    0.18638
     0.72585    0.18637
     0.73720    0.18633
     0.74855    0.18627
     0.75990    0.18619
     0.77125    0.18610
     0.78260    0.18601
     0.79395    0.18591
     0.80530    0.18582
     0.81665    0.18576
     0.82800    0.18573
     0.83935    0.18575
     0.85069    0.18584
     0.86204    0.18603
     0.87338    0.18636
     0.88470    0.18687
     0.89601    0.18762
     0.90727    0.18868
     0.91845    0.19014
     0.92952    0.19213
     0.94040    0.19479
     0.95099    0.19825
     0.96113    0.20259
     0.97069    0.20773
     0.97950    0.21327
     0.98746    0.21853
     0.99454    0.22222
     1.00000    0.22354
