#      x          Cp  
     1.00000   -0.12217
     0.99476   -0.12350
     0.98801   -0.12556
     0.98047   -0.12791
     0.97219   -0.13053
     0.96326   -0.13340
     0.95381   -0.13649
     0.94396   -0.13974
     0.93384   -0.14313
     0.92354   -0.14663
     0.91311   -0.15023
     0.90259   -0.15391
     0.89202   -0.15766
     0.88141   -0.16149
     0.87077   -0.16539
     0.86012   -0.16936
     0.84944   -0.17339
     0.83875   -0.17750
     0.82804   -0.18167
     0.81733   -0.18591
     0.80660   -0.19022
     0.79586   -0.19459
     0.78512   -0.19903
     0.77436   -0.20352
     0.76360   -0.20808
     0.75283   -0.21268
     0.74206   -0.21733
     0.73128   -0.22202
     0.72049   -0.22673
     0.70969   -0.23143
     0.69890   -0.23608
     0.68809   -0.24061
     0.67728   -0.24489
     0.66647   -0.24866
     0.65566   -0.25149
     0.64484   -0.25271
     0.63402   -0.25446
     0.62320   -0.26514
     0.61238   -0.27998
     0.60155   -0.29866
     0.59073   -0.32093
     0.57990   -0.34651
     0.56908   -0.37505
     0.55826   -0.40617
     0.54744   -0.43950
     0.53662   -0.47468
     0.52581   -0.51135
     0.51500   -0.54922
     0.50419   -0.58804
     0.49339   -0.62763
     0.48260   -0.66786
     0.47182   -0.70865
     0.46105   -0.74999
     0.45029   -0.79192
     0.43955   -0.83452
     0.42883   -0.87798
     0.41815   -0.92244
     0.40752   -0.96862
     0.39696   -1.01675
     0.38649   -1.06388
     0.37607   -1.10963
     0.36568   -1.15481
     0.35532   -1.19942
     0.34499   -1.24368
     0.33468   -1.28769
     0.32439   -1.33155
     0.31413   -1.37539
     0.30389   -1.41928
     0.29368   -1.46332
     0.28349   -1.50760
     0.27334   -1.55223
     0.26322   -1.59731
     0.25313   -1.64293
     0.24308   -1.68922
     0.23308   -1.73630
     0.22312   -1.78431
     0.21321   -1.83340
     0.20336   -1.88374
     0.19356   -1.93554
     0.18384   -1.98899
     0.17419   -2.04435
     0.16462   -2.10188
     0.15515   -2.16192
     0.14579   -2.22479
     0.13655   -2.29089
     0.12745   -2.36066
     0.11852   -2.43455
     0.10978   -2.51305
     0.10128   -2.59665
     0.09304   -2.68581
     0.08512   -2.78092
     0.07755   -2.88224
     0.07039   -2.98988
     0.06367   -3.10370
     0.05743   -3.22336
     0.05166   -3.34824
     0.04638   -3.47743
     0.04157   -3.60964
     0.03719   -3.74296
     0.03323   -3.87447
     0.02964   -4.00006
     0.02639   -4.11695
     0.02344   -4.24547
     0.02077   -4.53017
     0.01833   -5.31556
     0.01612   -5.71844
     0.01410   -5.78408
     0.01226   -5.84813
     0.01059   -5.91924
     0.00906   -6.00559
     0.00767   -6.11513
     0.00640   -6.25145
     0.00526   -6.41529
     0.00423   -6.60385
     0.00332   -6.79985
     0.00251   -6.98404
     0.00180   -7.14023
     0.00120   -7.25406
     0.00070   -7.31205
     0.00030   -7.30103
     0.00001   -7.20940
    -0.00019   -7.03012
    -0.00029   -6.76316
    -0.00029   -6.40957
    -0.00020   -5.97033
    -0.00001   -5.45853
     0.00029   -4.89709
     0.00071   -4.29136
     0.00124   -3.65908
     0.00189   -3.02548
     0.00267   -2.41599
     0.00356   -1.85123
     0.00458   -1.34426
     0.00572   -0.90099
     0.00697   -0.52160
     0.00835   -0.20238
     0.00985    0.06261
     0.01148    0.28007
     0.01324    0.45669
     0.01515    0.59865
     0.01721    0.71148
     0.01944    0.79983
     0.02185    0.86782
     0.02447    0.91861
     0.02732    0.95518
     0.03042    0.97962
     0.03381    0.99399
     0.03752    0.99974
     0.04160    0.99826
     0.04609    0.99063
     0.05104    0.97792
     0.05649    0.96090
     0.06248    0.94058
     0.06904    0.91761
     0.07618    0.89294
     0.08389    0.86722
     0.09214    0.84120
     0.10088    0.81544
     0.11005    0.79042
     0.11959    0.76644
     0.12944    0.74371
     0.13954    0.72233
     0.14986    0.70232
     0.16036    0.68363
     0.17100    0.66620
     0.18177    0.64996
     0.19265    0.63480
     0.20362    0.62063
     0.21467    0.60736
     0.22579    0.59489
     0.23698    0.58315
     0.24823    0.57205
     0.25953    0.56153
     0.27087    0.55150
     0.28224    0.54191
     0.29362    0.53270
     0.30501    0.52382
     0.31638    0.51522
     0.32773    0.50682
     0.33906    0.49858
     0.35036    0.49041
     0.36165    0.48223
     0.37293    0.47394
     0.38420    0.46540
     0.39548    0.45629
     0.40679    0.44593
     0.41813    0.43625
     0.42949    0.42744
     0.44087    0.41912
     0.45227    0.41121
     0.46368    0.40362
     0.47511    0.39628
     0.48654    0.38913
     0.49799    0.38215
     0.50944    0.37529
     0.52088    0.36855
     0.53232    0.36189
     0.54375    0.35529
     0.55518    0.34874
     0.56660    0.34222
     0.57801    0.33571
     0.58941    0.32919
     0.60080    0.32265
     0.61219    0.31608
     0.62358    0.30946
     0.63496    0.30278
     0.64633    0.29601
     0.65770    0.28915
     0.66906    0.28217
     0.68043    0.27507
     0.69178    0.26783
     0.70314    0.26042
     0.71450    0.25284
     0.72585    0.24505
     0.73720    0.23704
     0.74855    0.22878
     0.75990    0.22025
     0.77125    0.21141
     0.78260    0.20224
     0.79395    0.19269
     0.80530    0.18272
     0.81665    0.17229
     0.82800    0.16132
     0.83935    0.14974
     0.85069    0.13748
     0.86204    0.12443
     0.87338    0.11046
     0.88470    0.09541
     0.89601    0.07908
     0.90727    0.06122
     0.91845    0.04151
     0.92952    0.01954
     0.94040   -0.00522
     0.95099   -0.03345
     0.96113   -0.06604
     0.97069   -0.10402
     0.97950   -0.14947
     0.98746   -0.19699
     0.99454   -0.26605
     1.00000   -0.12217
