# Force coefficients
# liftDir       : (-6.97564737e-02 9.97564050e-01 0.00000000e+00)
# dragDir       : (9.97564050e-01 6.97564737e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	1.07393447e-02	5.03388595e-01	1.06978282e-02	1.60882588e-02	-5.39043056e-03
1               	1.27691744e+00	1.74888713e+00	4.58931753e+00	3.57157620e+00	1.01774133e+00
2               	1.69048622e+00	1.93578367e+00	6.18448139e+00	4.78272691e+00	1.40175447e+00
3               	1.48902534e+00	1.56838337e+00	5.60215120e+00	4.29010094e+00	1.31205026e+00
4               	8.83001566e-01	8.98555644e-01	3.56076829e+00	2.66338571e+00	8.97382578e-01
5               	1.85842877e-01	2.12852223e-01	1.11095867e+00	7.41322212e-01	3.69636459e-01
6               	-3.64722918e-01	-2.90874137e-01	-9.02886758e-01	-8.16166297e-01	-8.67204606e-02
7               	-6.42218895e-01	-5.33167838e-01	-2.01136253e+00	-1.64790016e+00	-3.63462368e-01
8               	-6.53876361e-01	-5.35242610e-01	-2.18072592e+00	-1.74423932e+00	-4.36486599e-01
9               	-4.90969965e-01	-3.86627563e-01	-1.70287892e+00	-1.34240943e+00	-3.60469497e-01
10              	-2.33969432e-01	-1.65357455e-01	-8.42609745e-01	-6.55274304e-01	-1.87335440e-01
11              	1.12565267e-02	4.21504442e-02	3.62833811e-02	2.93982172e-02	6.88516386e-03
12              	1.73005158e-01	1.79024293e-01	6.69680078e-01	5.07845197e-01	1.61834881e-01
13              	2.31303398e-01	2.33215116e-01	9.60560136e-01	7.11583466e-01	2.48976669e-01
14              	2.05873247e-01	2.17837337e-01	9.43940578e-01	6.77843536e-01	2.66097042e-01
15              	1.29442832e-01	1.62887293e-01	7.26228429e-01	4.92557047e-01	2.33671382e-01
16              	3.37039105e-02	9.44952326e-02	4.08275667e-01	2.37841744e-01	1.70433923e-01
17              	-4.62228900e-02	3.47335428e-02	1.13258059e-01	1.04061395e-02	1.02851919e-01
18              	-9.22153758e-02	-4.46041807e-03	-8.37371963e-02	-1.34083974e-01	5.03467776e-02
19              	-1.01330965e-01	-2.02634841e-02	-1.56394137e-01	-1.79528033e-01	2.31338963e-02
20              	-8.44940615e-02	-1.76020476e-02	-1.29069157e-01	-1.49028640e-01	1.99594832e-02
21              	-5.34258402e-02	-4.39975695e-03	-3.81073461e-02	-7.24795133e-02	3.43721672e-02
22              	-1.90619801e-02	1.29011958e-02	8.05080121e-02	2.11920259e-02	5.93159862e-02
23              	8.26075518e-03	2.84285593e-02	1.88371009e-01	1.02446260e-01	8.59247493e-02
24              	2.28289364e-02	3.84530226e-02	2.59768456e-01	1.52713164e-01	1.07055292e-01
25              	2.48370740e-02	4.21820101e-02	2.88278653e-01	1.68976400e-01	1.19302252e-01
26              	1.86083028e-02	4.10834540e-02	2.84043762e-01	1.60630184e-01	1.23413578e-01
27              	7.62220657e-03	3.68982725e-02	2.57384555e-01	1.36314484e-01	1.21070071e-01
28              	-4.21022870e-03	3.14230734e-02	2.20730400e-01	1.06154971e-01	1.14575429e-01
29              	-1.36218657e-02	2.62727645e-02	1.86456172e-01	7.96062204e-02	1.06849952e-01
30              	-1.85222098e-02	2.25905669e-02	1.64353991e-01	6.36547857e-02	1.00699205e-01
31              	-1.93354707e-02	2.05830372e-02	1.55744267e-01	5.85366626e-02	9.72076041e-02
32              	-1.73344376e-02	2.00005760e-02	1.58261679e-01	6.17964020e-02	9.64652771e-02
33              	-1.37567367e-02	2.04056335e-02	1.68400554e-01	7.04435402e-02	9.79570136e-02
34              	-9.60823786e-03	2.13416867e-02	1.83048687e-01	8.19161056e-02	1.01132581e-01
35              	-5.87157560e-03	2.23206402e-02	1.98579689e-01	9.34182689e-02	1.05161420e-01
36              	-3.41003201e-03	2.29557474e-02	2.11271104e-01	1.02225520e-01	1.09045584e-01
37              	-2.49248662e-03	2.30981653e-02	2.19133363e-01	1.07074195e-01	1.12059168e-01
38              	-2.80596538e-03	2.28047213e-02	2.22267145e-01	1.08327607e-01	1.13939538e-01
39              	-3.79721840e-03	2.22203327e-02	2.22159078e-01	1.07282321e-01	1.14876758e-01
40              	-4.97222475e-03	2.15284997e-02	2.20288438e-01	1.05171994e-01	1.15116444e-01
41              	-6.03574641e-03	2.08546318e-02	2.17893309e-01	1.02910908e-01	1.14982401e-01
42              	-6.90654725e-03	2.02757297e-02	2.15558443e-01	1.00872674e-01	1.14685769e-01
43              	-7.45873879e-03	1.98706902e-02	2.13940252e-01	9.95113871e-02	1.14428865e-01
44              	-7.67078792e-03	1.96549141e-02	2.13359054e-01	9.90087390e-02	1.14350315e-01
45              	-7.60744236e-03	1.96192401e-02	2.13774089e-01	9.92796022e-02	1.14494487e-01
46              	-7.31748466e-03	1.97004520e-02	2.15174532e-01	1.00269781e-01	1.14904751e-01
47              	-6.89152203e-03	1.98437269e-02	2.17304364e-01	1.01760660e-01	1.15543704e-01
48              	-6.39977091e-03	2.00017144e-02	2.19927689e-01	1.03564073e-01	1.16363615e-01
49              	-5.87031933e-03	2.01464713e-02	2.22942519e-01	1.05600940e-01	1.17341579e-01
50              	-5.35448817e-03	2.02361790e-02	2.26113477e-01	1.07702250e-01	1.18411227e-01
51              	-4.96572990e-03	2.02196204e-02	2.28858251e-01	1.09463395e-01	1.19394855e-01
52              	-4.72015845e-03	2.00932436e-02	2.31022298e-01	1.10790990e-01	1.20231307e-01
53              	-4.63959263e-03	1.98710251e-02	2.32409184e-01	1.11564999e-01	1.20844185e-01
