# Force coefficients
# liftDir       : (-2.07911691e-01 9.78147601e-01 0.00000000e+00)
# dragDir       : (9.78147601e-01 2.07911691e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	3.20090049e-02	5.09286037e-01	3.12646531e-02	4.76413314e-02	-1.63766783e-02
1               	3.94853450e+00	4.45397921e+00	1.38563635e+01	1.08767162e+01	2.97964723e+00
2               	5.21550489e+00	5.44333821e+00	1.85406981e+01	1.44858539e+01	4.05484414e+00
3               	4.58827808e+00	4.62995939e+00	1.66979047e+01	1.29372304e+01	3.76067426e+00
4               	2.74600425e+00	2.78034223e+00	1.06407519e+01	8.06638022e+00	2.57437171e+00
5               	6.00709974e-01	7.36705498e-01	3.37279985e+00	2.28710990e+00	1.08568995e+00
6               	-1.08936254e+00	-8.50830839e-01	-2.57685964e+00	-2.37779237e+00	-1.99067278e-01
7               	-1.96856662e+00	-1.68054289e+00	-5.90797303e+00	-4.92255313e+00	-9.85419891e-01
8               	-2.01792594e+00	-1.74415442e+00	-6.44090127e+00	-5.23837657e+00	-1.20252469e+00
9               	-1.52489402e+00	-1.29359145e+00	-5.04235162e+00	-4.04606983e+00	-9.96281788e-01
10              	-7.50458381e-01	-5.98975112e-01	-2.55915265e+00	-2.03003471e+00	-5.29117944e-01
11              	-1.50762802e-02	5.82841699e-02	-4.36449659e-02	-3.68987631e-02	-6.74620272e-03
12              	4.90929948e-01	5.17403247e-01	1.81563419e+00	1.39874704e+00	4.16887146e-01
13              	6.73513184e-01	7.04404095e-01	2.66799104e+00	2.00750871e+00	6.60482337e-01
14              	6.11066550e-01	6.74071820e-01	2.67100198e+00	1.94656754e+00	7.24434442e-01
15              	3.86453822e-01	5.01224974e-01	2.07495126e+00	1.42392945e+00	6.51021806e-01
16              	1.07813737e-01	2.73423048e-01	1.20603821e+00	7.10832841e-01	4.95205367e-01
17              	-1.25338173e-01	7.11844012e-02	3.96674603e-01	7.29991283e-02	3.23675475e-01
18              	-2.58045805e-01	-5.95256621e-02	-1.42478786e-01	-3.29285198e-01	1.86806412e-01
19              	-2.85651345e-01	-1.05706837e-01	-3.49141028e-01	-4.60221859e-01	1.11080831e-01
20              	-2.43685299e-01	-8.81713342e-02	-3.00859847e-01	-3.94115223e-01	9.32553758e-02
21              	-1.55627995e-01	-3.19801871e-02	-6.84992454e-02	-1.89877618e-01	1.21378373e-01
22              	-5.71332719e-02	3.73405645e-02	2.40712551e-01	6.32230035e-02	1.77489547e-01
23              	1.98180259e-02	9.63053987e-02	5.17537684e-01	2.78586868e-01	2.38950816e-01
24              	6.03029457e-02	1.31910528e-01	6.98503120e-01	4.09554506e-01	2.88948615e-01
25              	6.65299039e-02	1.42766369e-01	7.72331385e-01	4.52695597e-01	3.19635789e-01
26              	5.07280284e-02	1.37387927e-01	7.66175154e-01	4.33815605e-01	3.32359548e-01
27              	2.38203523e-02	1.22211016e-01	7.09732706e-01	3.78686705e-01	3.31046001e-01
28              	-5.98339660e-03	1.02584207e-01	6.28524397e-01	3.08278802e-01	3.20245595e-01
29              	-3.04450323e-02	8.42668566e-02	5.50888619e-01	2.44999277e-01	3.05889342e-01
30              	-4.51463162e-02	7.10192753e-02	4.96023170e-01	2.02865269e-01	2.93157901e-01
31              	-5.00928331e-02	6.38000997e-02	4.69501745e-01	1.84658039e-01	2.84843706e-01
32              	-4.77338700e-02	6.18206525e-02	4.68340220e-01	1.86436240e-01	2.81903980e-01
33              	-4.07919108e-02	6.33386465e-02	4.84570835e-01	2.01493507e-01	2.83077329e-01
34              	-3.08347751e-02	6.77063867e-02	5.14947398e-01	2.26638924e-01	2.88308474e-01
35              	-1.97047577e-02	7.37482807e-02	5.54066212e-01	2.57328348e-01	2.96737864e-01
36              	-1.11479338e-02	7.89746668e-02	5.89247935e-01	2.83476034e-01	3.05771901e-01
37              	-5.96999890e-03	8.25237435e-02	6.15965834e-01	3.02012918e-01	3.13952916e-01
38              	-4.04395865e-03	8.41913639e-02	6.32748689e-01	3.12330386e-01	3.20418303e-01
39              	-4.46609981e-03	8.43549351e-02	6.41325547e-01	3.16196674e-01	3.25128873e-01
40              	-6.32035013e-03	8.34768929e-02	6.44029746e-01	3.15694523e-01	3.28335223e-01
41              	-8.90710431e-03	8.19326280e-02	6.42872607e-01	3.12529199e-01	3.30343408e-01
42              	-1.17232216e-02	8.00162450e-02	6.39383577e-01	3.07968567e-01	3.31415010e-01
43              	-1.43239995e-02	7.80406870e-02	6.35020589e-01	3.03186295e-01	3.31834294e-01
44              	-1.63310040e-02	7.63208961e-02	6.31216916e-01	2.99277454e-01	3.31939462e-01
45              	-1.73525230e-02	7.52047566e-02	6.29578484e-01	2.97436719e-01	3.32141765e-01
46              	-1.76292301e-02	7.45996451e-02	6.29876518e-01	2.97309029e-01	3.32567489e-01
47              	-1.72198673e-02	7.45236422e-02	6.32297453e-01	2.98928859e-01	3.33368594e-01
48              	-1.62462657e-02	7.49280620e-02	6.36737784e-01	3.02122626e-01	3.34615158e-01
49              	-1.47072092e-02	7.58339060e-02	6.43464766e-01	3.07025174e-01	3.36439592e-01
50              	-1.30115946e-02	7.69262361e-02	6.51130306e-01	3.12553558e-01	3.38576748e-01
51              	-1.14093741e-02	7.79884981e-02	6.58835331e-01	3.18008292e-01	3.40827040e-01
52              	-1.00883138e-02	7.88405390e-02	6.65803674e-01	3.22813523e-01	3.42990151e-01
53              	-9.15392718e-03	7.93642512e-02	6.71496355e-01	3.26594250e-01	3.44902105e-01
54              	-8.71192278e-03	7.94786584e-02	6.75216472e-01	3.28896313e-01	3.46320159e-01
55              	-8.57769048e-03	7.92834446e-02	6.77677903e-01	3.30261261e-01	3.47416642e-01
56              	-8.67463673e-03	7.88400360e-02	6.79057620e-01	3.30854173e-01	3.48203447e-01
57              	-8.90386174e-03	7.82425158e-02	6.79657788e-01	3.30925032e-01	3.48732756e-01
58              	-9.16877025e-03	7.75889049e-02	6.79824226e-01	3.30743343e-01	3.49080883e-01
59              	-9.39766474e-03	7.69555739e-02	6.79852759e-01	3.30528715e-01	3.49324044e-01
60              	-9.54596436e-03	7.63948375e-02	6.79956153e-01	3.30432112e-01	3.49524041e-01
61              	-9.59006306e-03	7.59152768e-02	6.80276305e-01	3.30548090e-01	3.49728216e-01
62              	-9.50634043e-03	7.55860229e-02	6.80937365e-01	3.30962342e-01	3.49975023e-01
63              	-9.30065259e-03	7.54032490e-02	6.81978876e-01	3.31688785e-01	3.50290091e-01
64              	-8.97210401e-03	7.53533010e-02	6.83447413e-01	3.32751603e-01	3.50695811e-01
65              	-8.58012789e-03	7.53840523e-02	6.85187446e-01	3.34013595e-01	3.51173851e-01
66              	-8.17114652e-03	7.54383100e-02	6.87054813e-01	3.35356260e-01	3.51698553e-01
67              	-7.78326187e-03	7.54664175e-02	6.88920317e-01	3.36676897e-01	3.52243420e-01
68              	-7.48981814e-03	7.54125331e-02	6.90513578e-01	3.37766971e-01	3.52746607e-01
69              	-7.21595607e-03	7.52968445e-02	6.92096979e-01	3.38832533e-01	3.53264445e-01
70              	-7.00221775e-03	7.51027170e-02	6.93500751e-01	3.39748158e-01	3.53752593e-01
71              	-6.82306781e-03	7.48330159e-02	6.94801139e-01	3.40577502e-01	3.54223637e-01
72              	-6.70457301e-03	7.44983175e-02	6.95879091e-01	3.41234972e-01	3.54644118e-01
73              	-6.65087194e-03	7.41231131e-02	6.96714727e-01	3.41706491e-01	3.55008235e-01
74              	-6.64520763e-03	7.37204506e-02	6.97386787e-01	3.42048186e-01	3.55338601e-01
75              	-6.67955984e-03	7.33277465e-02	6.97933836e-01	3.42287358e-01	3.55646478e-01
76              	-6.73285317e-03	7.29618851e-02	6.98460254e-01	3.42497274e-01	3.55962980e-01
77              	-6.78664702e-03	7.26347473e-02	6.99059454e-01	3.42743080e-01	3.56316374e-01
78              	-6.82651156e-03	7.23580417e-02	6.99783253e-01	3.43065115e-01	3.56718138e-01
79              	-6.83989353e-03	7.21308539e-02	7.00717546e-01	3.43518880e-01	3.57198667e-01
80              	-6.81819863e-03	7.19528575e-02	7.01920358e-01	3.44141980e-01	3.57778378e-01
81              	-6.75723250e-03	7.18262827e-02	7.03392831e-01	3.44939183e-01	3.58453648e-01
82              	-6.68023408e-03	7.17267893e-02	7.04972326e-01	3.45805929e-01	3.59166397e-01
83              	-6.59338247e-03	7.16433136e-02	7.06644435e-01	3.46728835e-01	3.59915600e-01
84              	-6.50630083e-03	7.15644095e-02	7.08379484e-01	3.47683441e-01	3.60696043e-01
85              	-6.42317594e-03	7.14823412e-02	7.10209923e-01	3.48681786e-01	3.61528137e-01
86              	-6.35899590e-03	7.13893290e-02	7.12035955e-01	3.49658981e-01	3.62376973e-01
87              	-6.32608366e-03	7.12768556e-02	7.13773126e-01	3.50560479e-01	3.63212647e-01
88              	-6.32405335e-03	7.11461681e-02	7.15437095e-01	3.51394494e-01	3.64042601e-01
89              	-6.35054069e-03	7.10022000e-02	7.16992826e-01	3.52145872e-01	3.64846954e-01
90              	-6.39874689e-03	7.08456600e-02	7.18594421e-01	3.52898463e-01	3.65695957e-01
91              	-6.46271202e-03	7.06725874e-02	7.20420517e-01	3.53747547e-01	3.66672971e-01
92              	-6.53650573e-03	7.05092318e-02	7.21951659e-01	3.54439324e-01	3.67512335e-01
93              	-6.61093405e-03	7.03517360e-02	7.23316814e-01	3.55047473e-01	3.68269341e-01
94              	-6.66439846e-03	7.02061961e-02	7.25054775e-01	3.55862989e-01	3.69191786e-01
95              	-6.70117176e-03	7.00862446e-02	7.26671621e-01	3.56634639e-01	3.70036982e-01
96              	-6.73029790e-03	6.99811390e-02	7.28127090e-01	3.57333247e-01	3.70793843e-01
97              	-6.76457686e-03	6.98724821e-02	7.29332114e-01	3.57901480e-01	3.71430634e-01
98              	-6.79144526e-03	6.97709945e-02	7.30640886e-01	3.58528998e-01	3.72111888e-01
99              	-6.77076223e-03	6.97240136e-02	7.32495179e-01	3.59476827e-01	3.73018352e-01
100             	-6.78896670e-03	6.96471636e-02	7.33998410e-01	3.60210238e-01	3.73788172e-01
101             	-6.81072733e-03	6.95739322e-02	7.35552440e-01	3.60965492e-01	3.74586947e-01
102             	-6.83769506e-03	6.95021781e-02	7.37148441e-01	3.61736526e-01	3.75411916e-01
103             	-6.87337498e-03	6.94260745e-02	7.38727279e-01	3.62490264e-01	3.76237014e-01
104             	-6.91808302e-03	6.93440791e-02	7.40282554e-01	3.63223194e-01	3.77059360e-01
105             	-6.97362164e-03	6.92522273e-02	7.41763655e-01	3.63908206e-01	3.77855449e-01
106             	-7.03837452e-03	6.91511270e-02	7.43181990e-01	3.64552621e-01	3.78629370e-01
107             	-7.11221485e-03	6.90397442e-02	7.44510368e-01	3.65142969e-01	3.79367399e-01
108             	-7.19286729e-03	6.89211445e-02	7.45781955e-01	3.65698110e-01	3.80083845e-01
109             	-7.27885665e-03	6.87975975e-02	7.46992210e-01	3.66217248e-01	3.80774962e-01
110             	-7.36808648e-03	6.86735188e-02	7.48180217e-01	3.66722022e-01	3.81458195e-01
111             	-7.46035977e-03	6.85513539e-02	7.49352723e-01	3.67216002e-01	3.82136721e-01
112             	-7.55528077e-03	6.84340766e-02	7.50541613e-01	3.67715526e-01	3.82826087e-01
113             	-7.65048955e-03	6.83221953e-02	7.51681477e-01	3.68190249e-01	3.83491228e-01
114             	-7.74993636e-03	6.82144863e-02	7.52873474e-01	3.68686800e-01	3.84186673e-01
115             	-7.85311298e-03	6.81124224e-02	7.54135713e-01	3.69214743e-01	3.84920969e-01
116             	-7.95849922e-03	6.80152696e-02	7.55439692e-01	3.69761347e-01	3.85678345e-01
117             	-8.06927479e-03	6.79203734e-02	7.56820484e-01	3.70340967e-01	3.86479517e-01
118             	-8.18049699e-03	6.78243348e-02	7.58160779e-01	3.70899892e-01	3.87260886e-01
119             	-8.29308525e-03	6.77216116e-02	7.59405067e-01	3.71409448e-01	3.87995619e-01
120             	-8.40627081e-03	6.76097547e-02	7.60568489e-01	3.71877974e-01	3.88690515e-01
121             	-8.51878688e-03	6.74897067e-02	7.61658086e-01	3.72310256e-01	3.89347830e-01
122             	-8.62792044e-03	6.73645020e-02	7.62707449e-01	3.72725804e-01	3.89981645e-01
123             	-8.73141928e-03	6.72395397e-02	7.63739725e-01	3.73138443e-01	3.90601282e-01
124             	-8.82635093e-03	6.71197696e-02	7.64784670e-01	3.73565984e-01	3.91218686e-01
125             	-8.90984001e-03	6.70113199e-02	7.65861534e-01	3.74020927e-01	3.91840607e-01
126             	-8.98113149e-03	6.69161584e-02	7.66984519e-01	3.74511128e-01	3.92473391e-01
127             	-9.04130374e-03	6.68362219e-02	7.68150945e-01	3.75034169e-01	3.93116776e-01
128             	-9.09334003e-03	6.67670668e-02	7.69352922e-01	3.75583121e-01	3.93769801e-01
129             	-9.14185634e-03	6.67040835e-02	7.70565886e-01	3.76141086e-01	3.94424799e-01
130             	-9.18907444e-03	6.66410238e-02	7.71772318e-01	3.76697084e-01	3.95075233e-01
131             	-9.23266309e-03	6.65783108e-02	7.72954934e-01	3.77244804e-01	3.95710130e-01
132             	-9.26796080e-03	6.65167049e-02	7.74112429e-01	3.77788254e-01	3.96324175e-01
133             	-9.29258121e-03	6.64581946e-02	7.75226744e-01	3.78320791e-01	3.96905953e-01
134             	-9.30976413e-03	6.64000722e-02	7.76304947e-01	3.78842710e-01	3.97462238e-01
135             	-9.32647163e-03	6.63414964e-02	7.77350533e-01	3.79348795e-01	3.98001738e-01
136             	-9.34506019e-03	6.62837658e-02	7.78378480e-01	3.79844180e-01	3.98534300e-01
