face_local_index,x_over_c,y_over_c,surface,Cp
108,0.015272299999999999,-0.0157461,lower,0.92839422
109,0.01441895,-0.0153342,lower,0.90530347
110,0.0135886,-0.0149153,lower,0.87833882
111,0.0127814,-0.0144894,lower,0.8471006
112,0.0119974,-0.01405645,lower,0.81113306
113,0.01123675,-0.01361645,lower,0.76997341
114,0.01049955,-0.013169400000000001,lower,0.72315206
115,0.0097859,-0.01271525,lower,0.67016285
116,0.009095935,-0.012254000000000001,lower,0.61045149
117,0.00842971,-0.0117857,lower,0.54353146
118,0.007787334999999999,-0.0113103,lower,0.46873216
119,0.007168905,-0.0108278,lower,0.38558308
120,0.00657451,-0.010338199999999999,lower,0.29352625
121,0.00600423,-0.009841465,lower,0.19204567
122,0.00545815,-0.00933763,lower,0.080743993
123,0.004936355,-0.00882668,lower,-0.040837486
124,0.00443892,-0.008308615,lower,-0.1729606
125,0.0039659199999999995,-0.007783430000000001,lower,-0.31577379
126,0.00351743,-0.0072511350000000006,lower,-0.46930827
127,0.00309351,-0.006711725,lower,-0.63354059
128,0.0026942299999999997,-0.006165205,lower,-0.80754356
129,0.002319655,-0.00561158,lower,-0.99189164
130,0.00196984,-0.005050855,lower,-1.1847346
131,0.0016448399999999998,-0.004483035,lower,-1.3855213
132,0.0013447049999999999,-0.003908125,lower,-1.593044
133,0.001069491,-0.003326135,lower,-1.8059193
134,0.0008192445,-0.0027370750000000003,lower,-2.0224958
135,0.000594004,-0.00214096,lower,-2.241334
136,0.0003938115,-0.001537795,lower,-2.4607696
137,0.000218703,-0.0009275919999999999,lower,-2.6793577
138,6.8712e-05,-0.000310367,lower,-2.8959549
139,-5.59415e-05,0.000312921,upper,-3.109783
140,-0.0001548525,0.0009403610000000001,upper,-3.3203779
141,-0.00022780750000000002,0.00157099,upper,-3.5240214
142,-0.00027478599999999995,0.00220479,upper,-3.7176016
143,-0.000295771,0.00284174,upper,-3.8992204
144,-0.000290749,0.00348181,upper,-4.0672767
145,-0.0002597095,0.004124975,upper,-4.2206125
146,-0.000202645,0.00477121,upper,-4.3580879
147,-0.0001195523,0.00542048,upper,-4.4795149
148,-1.0430500000000001e-05,0.00607275,upper,-4.5841782
149,0.0001247178,0.00672799,upper,-4.6724332
150,0.000285886,0.007386165,upper,-4.7464108
151,0.0004730645,0.00804723,upper,-4.8042166
152,0.0006862405,0.008711145,upper,-4.8474132
153,0.000925398,0.009377864999999999,upper,-4.8776456
154,0.00119052,0.01004736,upper,-4.8957656
155,0.0014815800000000001,0.01071955,upper,-4.9027887
156,0.0017985499999999999,0.011394399999999999,upper,-4.8998756
157,0.0021414,0.01207185,upper,-4.8881997
158,0.0025101,0.012751849999999999,upper,-4.869046
159,0.00290462,0.013434350000000001,upper,-4.843231
160,0.00332491,0.014119300000000001,upper,-4.8119838
