AoA_deg,time,face,x_over_c,y_over_c,z,Cp
0.0,1770,91,0.0281311,-0.0275867,0.0,-0.25043839
0.0,1770,92,0.02698635,-0.0270718,0.0,-0.24062484
0.0,1770,93,0.0258637,-0.0265536,0.0,-0.23027225
0.0,1770,94,0.02476325,-0.0260321,0.0,-0.21940375
0.0,1770,95,0.023685200000000003,-0.02550725,0.0,-0.20778756
0.0,1770,96,0.02262965,-0.024979150000000002,0.0,-0.19559373
0.0,1770,97,0.021596749999999998,-0.02444785,0.0,-0.18270324
0.0,1770,98,0.020586649999999998,-0.0239134,0.0,-0.16909439
0.0,1770,99,0.019599449999999997,-0.0233758,0.0,-0.15464717
0.0,1770,100,0.018635350000000002,-0.022835099999999997,0.0,-0.1394248
0.0,1770,101,0.0176944,-0.02229135,0.0,-0.12336835
0.0,1770,102,0.01677665,-0.0217445,0.0,-0.1062822
0.0,1770,103,0.01588235,-0.021194650000000002,0.0,-0.088297931
0.0,1770,104,0.015011549999999999,-0.020641899999999998,0.0,-0.069348221
0.0,1770,105,0.01416435,-0.0200862,0.0,-0.04920193
0.0,1770,106,0.01334095,-0.01952755,0.0,-0.027941258
0.0,1770,107,0.01254135,-0.0189661,0.0,-0.0056626316
0.0,1770,108,0.011765649999999999,-0.018401849999999997,0.0,0.018026802
0.0,1770,109,0.011014050000000001,-0.01783475,0.0,0.042973647
0.0,1770,110,0.010286585,-0.0172649,0.0,0.069228912
0.0,1770,111,0.009583305,-0.01669235,0.0,0.096844827
0.0,1770,112,0.00890436,-0.016117100000000002,0.0,0.12591305
0.0,1770,113,0.008249820000000001,-0.015539150000000002,0.0,0.15646142
0.0,1770,114,0.0076197650000000006,-0.014958599999999999,0.0,0.18846355
0.0,1770,115,0.007014275,-0.0143755,0.0,0.2219366
0.0,1770,116,0.00643343,-0.0137898,0.0,0.25686716
0.0,1770,117,0.00587731,-0.0132016,0.0,0.29329503
0.0,1770,118,0.00534598,-0.012610900000000001,0.0,0.33105338
0.0,1770,119,0.004839505,-0.01201775,0.0,0.37019649
0.0,1770,120,0.004357955,-0.011422149999999999,0.0,0.41058295
0.0,1770,121,0.0039013900000000002,-0.010824150000000001,0.0,0.45197843
0.0,1770,122,0.003469865,-0.010223804999999999,0.0,0.49434622
0.0,1770,123,0.003063435,-0.009621069999999999,0.0,0.53737764
0.0,1770,124,0.0026821550000000003,-0.009016045,0.0,0.58082945
