AoA_deg,time,face,x_over_c,y_over_c,z,Cp
6.0,1432,0,0.19887,-0.0573073,0.0,0.063952439
6.0,1432,1,0.19661,-0.05717315,0.0,0.0662972
6.0,1432,2,0.19435049999999998,-0.05703515,0.0,0.068660993
6.0,1432,3,0.19209199999999998,-0.05689325,0.0,0.07110847
6.0,1432,4,0.189834,-0.056747399999999996,0.0,0.073595023
6.0,1432,5,0.1875775,-0.0565976,0.0,0.076182119
6.0,1432,6,0.18532300000000002,-0.056443850000000004,0.0,0.078777787
6.0,1432,7,0.18307,-0.0562861,0.0,0.081468505
6.0,1432,8,0.180819,-0.05612425,0.0,0.084204582
6.0,1432,9,0.1785705,-0.055958350000000004,0.0,0.086988113
6.0,1432,10,0.1763245,-0.05578835,0.0,0.089827404
6.0,1432,11,0.1740815,-0.0556142,0.0,0.09275208
6.0,1432,12,0.1718425,-0.055435899999999996,0.0,0.095744613
6.0,1432,13,0.169607,-0.055253399999999994,0.0,0.098846622
6.0,1432,14,0.167375,-0.055066699999999996,0.0,0.10194554
6.0,1432,15,0.1651475,-0.0548758,0.0,0.10517929
6.0,1432,16,0.1629245,-0.05468065,0.0,0.10841105
6.0,1432,17,0.1607055,-0.0544812,0.0,0.11177212
6.0,1432,18,0.158492,-0.054277450000000005,0.0,0.11516743
6.0,1432,19,0.156284,-0.054069400000000004,0.0,0.1186858
6.0,1432,20,0.15408100000000002,-0.053856999999999995,0.0,0.122273
6.0,1432,21,0.1518845,-0.05364025,0.0,0.12593913
6.0,1432,22,0.149694,-0.05341915,0.0,0.1296616
6.0,1432,23,0.14750950000000002,-0.05319365,0.0,0.13347677
6.0,1432,24,0.14533200000000002,-0.0529637,0.0,0.13732744
6.0,1432,25,0.1431615,-0.05272935,0.0,0.14116676
6.0,1432,26,0.1409985,-0.0524906,0.0,0.14495212
6.0,1432,27,0.138843,-0.0522474,0.0,0.14861243
6.0,1432,28,0.136695,-0.0519997,0.0,0.15214132
6.0,1432,29,0.13455499999999998,-0.05174755,0.0,0.15566303
6.0,1432,30,0.1324235,-0.051490949999999994,0.0,0.159322
6.0,1432,31,0.130301,-0.05122985,0.0,0.16320279
6.0,1432,32,0.128187,-0.05096425,0.0,0.167341
6.0,1432,33,0.126082,-0.050694100000000006,0.0,0.17180503
6.0,1432,34,0.12398700000000001,-0.050419500000000006,0.0,0.17648471
6.0,1432,35,0.1219015,-0.0501404,0.0,0.18139459
6.0,1432,36,0.1198255,-0.049856750000000005,0.0,0.18646097
6.0,1432,37,0.11776,-0.049568600000000004,0.0,0.19167406
6.0,1432,38,0.1157055,-0.04927595,0.0,0.19701965
6.0,1432,39,0.1136615,-0.048978749999999995,0.0,0.20244739
6.0,1432,40,0.111628,-0.048677,0.0,0.20799282
6.0,1432,41,0.10960600000000001,-0.048370750000000004,0.0,0.21362609
6.0,1432,42,0.107596,-0.048060000000000005,0.0,0.2193711
6.0,1432,43,0.10559749999999998,-0.04774475,0.0,0.22522004
6.0,1432,44,0.10361100000000001,-0.04742500000000001,0.0,0.23120418
6.0,1432,45,0.101637,-0.047100699999999995,0.0,0.23729377
6.0,1432,46,0.0996755,-0.0467719,0.0,0.24350649
6.0,1432,47,0.09772685,-0.04643865,0.0,0.24984876
6.0,1432,48,0.09579114999999999,-0.0461009,0.0,0.25632329
6.0,1432,49,0.0938688,-0.04575865,0.0,0.26293899
6.0,1432,50,0.09195999999999999,-0.04541195,0.0,0.26967223
6.0,1432,51,0.090065,-0.0450608,0.0,0.27658058
6.0,1432,52,0.08818405,-0.0447052,0.0,0.28361492
6.0,1432,53,0.08631734999999999,-0.04434515,0.0,0.2908166
6.0,1432,54,0.08446514999999999,-0.043980700000000005,0.0,0.2981475
6.0,1432,55,0.08262775,-0.043611849999999994,0.0,0.30565733
6.0,1432,56,0.08080535,-0.0432386,0.0,0.31332507
6.0,1432,57,0.07899809999999999,-0.042860999999999996,0.0,0.32114734
6.0,1432,58,0.07720635,-0.04247905,0.0,0.3291393
6.0,1432,59,0.0754303,-0.0420928,0.0,0.33729504
6.0,1432,60,0.0736701,-0.0417022,0.0,0.34563865
6.0,1432,61,0.07192604999999999,-0.041307250000000004,0.0,0.35418972
6.0,1432,62,0.0701984,-0.04090805,0.0,0.36289605
6.0,1432,63,0.0684873,-0.0405046,0.0,0.37179317
6.0,1432,64,0.06679299999999999,-0.04009695,0.0,0.38086515
6.0,1432,65,0.0651157,-0.0396851,0.0,0.39015661
6.0,1432,66,0.0634556,-0.039269,0.0,0.39964122
6.0,1432,67,0.06181300000000001,-0.03884875,0.0,0.40933629
6.0,1432,68,0.06018805,-0.038424349999999996,0.0,0.41924372
6.0,1432,69,0.058580900000000005,-0.03799585,0.0,0.42934697
6.0,1432,70,0.0569918,-0.037563299999999994,0.0,0.43965256
6.0,1432,71,0.055421,-0.03712665,0.0,0.45021455
6.0,1432,72,0.053868650000000004,-0.036685949999999995,0.0,0.46097716
6.0,1432,73,0.052334950000000005,-0.03624125,0.0,0.47197971
6.0,1432,74,0.05082015,-0.0357926,0.0,0.48319639
