AoA_deg,time,face,x_over_c,y_over_c,z,Cp
12.0,2350,0,0.19887,-0.0573073,0.0,0.42778174
12.0,2350,1,0.19661,-0.05717315,0.0,0.43198038
12.0,2350,2,0.19435049999999998,-0.05703515,0.0,0.43622499
12.0,2350,3,0.19209199999999998,-0.05689325,0.0,0.44052604
12.0,2350,4,0.189834,-0.056747399999999996,0.0,0.44488239
12.0,2350,5,0.1875775,-0.0565976,0.0,0.44931316
12.0,2350,6,0.18532300000000002,-0.056443850000000004,0.0,0.45378477
12.0,2350,7,0.18307,-0.0562861,0.0,0.45832128
12.0,2350,8,0.180819,-0.05612425,0.0,0.46293704
12.0,2350,9,0.1785705,-0.055958350000000004,0.0,0.46759849
12.0,2350,10,0.1763245,-0.05578835,0.0,0.4723355
12.0,2350,11,0.1740815,-0.0556142,0.0,0.47714804
12.0,2350,12,0.1718425,-0.055435899999999996,0.0,0.48201812
12.0,2350,13,0.169607,-0.055253399999999994,0.0,0.48698852
12.0,2350,14,0.167375,-0.055066699999999996,0.0,0.49198469
12.0,2350,15,0.1651475,-0.0548758,0.0,0.49708699
12.0,2350,16,0.1629245,-0.05468065,0.0,0.50223332
12.0,2350,17,0.1607055,-0.0544812,0.0,0.50748375
12.0,2350,18,0.158492,-0.054277450000000005,0.0,0.51278246
12.0,2350,19,0.156284,-0.054069400000000004,0.0,0.51816876
12.0,2350,20,0.15408100000000002,-0.053856999999999995,0.0,0.5236345
12.0,2350,21,0.1518845,-0.05364025,0.0,0.52917329
12.0,2350,22,0.149694,-0.05341915,0.0,0.53477985
12.0,2350,23,0.14750950000000002,-0.05319365,0.0,0.54047939
12.0,2350,24,0.14533200000000002,-0.0529637,0.0,0.54625564
12.0,2350,25,0.1431615,-0.05272935,0.0,0.55210937
12.0,2350,26,0.1409985,-0.0524906,0.0,0.55804933
12.0,2350,27,0.138843,-0.0522474,0.0,0.56406332
12.0,2350,28,0.136695,-0.0519997,0.0,0.57015547
12.0,2350,29,0.13455499999999998,-0.05174755,0.0,0.57633578
12.0,2350,30,0.1324235,-0.051490949999999994,0.0,0.58259824
12.0,2350,31,0.130301,-0.05122985,0.0,0.58894583
12.0,2350,32,0.128187,-0.05096425,0.0,0.59536399
12.0,2350,33,0.126082,-0.050694100000000006,0.0,0.60189682
12.0,2350,34,0.12398700000000001,-0.050419500000000006,0.0,0.60848183
12.0,2350,35,0.1219015,-0.0501404,0.0,0.61516647
12.0,2350,36,0.1198255,-0.049856750000000005,0.0,0.62192382
12.0,2350,37,0.11776,-0.049568600000000004,0.0,0.62877119
12.0,2350,38,0.1157055,-0.04927595,0.0,0.63571847
12.0,2350,39,0.1136615,-0.048978749999999995,0.0,0.64273144
12.0,2350,40,0.111628,-0.048677,0.0,0.64984108
12.0,2350,41,0.10960600000000001,-0.048370750000000004,0.0,0.6570223
12.0,2350,42,0.107596,-0.048060000000000005,0.0,0.66429417
12.0,2350,43,0.10559749999999998,-0.04774475,0.0,0.67164472
12.0,2350,44,0.10361100000000001,-0.04742500000000001,0.0,0.6790912
12.0,2350,45,0.101637,-0.047100699999999995,0.0,0.68660884
12.0,2350,46,0.0996755,-0.0467719,0.0,0.69420593
12.0,2350,47,0.09772685,-0.04643865,0.0,0.70188748
12.0,2350,48,0.09579114999999999,-0.0461009,0.0,0.70964738
12.0,2350,49,0.0938688,-0.04575865,0.0,0.71748808
12.0,2350,50,0.09195999999999999,-0.04541195,0.0,0.72538883
12.0,2350,51,0.090065,-0.0450608,0.0,0.73338341
12.0,2350,52,0.08818405,-0.0447052,0.0,0.7414371
12.0,2350,53,0.08631734999999999,-0.04434515,0.0,0.74956905
